S,4,5,T,prob,Connected
0,0,0,0,0.105,True
1,0,0,0,0.105,True
2,0,0,0,0.105,True
0,1,0,0,0.18,True
1,1,0,0,0.18,True
2,1,0,0,0.18,True
0,2,0,0,0.015,True
1,2,0,0,0.015,True
2,2,0,0,0.015,True
0,0,1,0,0.24149999999999996,True
1,0,1,0,0.24149999999999996,True
2,0,1,0,0.24149999999999996,True
0,1,1,0,0.414,True
1,1,1,0,0.414,True
2,1,1,0,0.414,True
0,2,1,0,0.034499999999999996,True
1,2,1,0,0.034499999999999996,True
2,2,1,0,0.034499999999999996,True
0,0,2,0,0.0034999999999999996,True
1,0,2,0,0.0034999999999999996,True
2,0,2,0,0.0034999999999999996,True
0,1,2,0,0.006,False
1,1,2,0,0.006,False
2,1,2,0,0.006,False
0,2,2,0,0.0005,False
1,2,2,0,0.0005,False
2,2,2,0,0.0005,False
0,0,0,1,0.105,True
1,0,0,1,0.105,True
2,0,0,1,0.105,True
0,1,0,1,0.18,True
1,1,0,1,0.18,True
2,1,0,1,0.18,True
0,2,0,1,0.015,True
1,2,0,1,0.015,True
2,2,0,1,0.015,True
0,0,1,1,0.24149999999999996,True
1,0,1,1,0.24149999999999996,True
2,0,1,1,0.24149999999999996,True
0,1,1,1,0.414,True
1,1,1,1,0.414,True
2,1,1,1,0.414,True
0,2,1,1,0.034499999999999996,True
1,2,1,1,0.034499999999999996,True
2,2,1,1,0.034499999999999996,True
0,0,2,1,0.0034999999999999996,True
1,0,2,1,0.0034999999999999996,True
2,0,2,1,0.0034999999999999996,True
0,1,2,1,0.006,False
1,1,2,1,0.006,False
2,1,2,1,0.006,False
0,2,2,1,0.0005,False
1,2,2,1,0.0005,False
2,2,2,1,0.0005,False
0,0,0,2,0.105,True
1,0,0,2,0.105,True
2,0,0,2,0.105,True
0,1,0,2,0.18,True
1,1,0,2,0.18,True
2,1,0,2,0.18,True
0,2,0,2,0.015,True
1,2,0,2,0.015,True
2,2,0,2,0.015,True
0,0,1,2,0.24149999999999996,True
1,0,1,2,0.24149999999999996,True
2,0,1,2,0.24149999999999996,True
0,1,1,2,0.414,True
1,1,1,2,0.414,True
2,1,1,2,0.414,True
0,2,1,2,0.034499999999999996,True
1,2,1,2,0.034499999999999996,True
2,2,1,2,0.034499999999999996,True
0,0,2,2,0.0034999999999999996,True
1,0,2,2,0.0034999999999999996,True
2,0,2,2,0.0034999999999999996,True
0,1,2,2,0.006,False
1,1,2,2,0.006,False
2,1,2,2,0.006,False
0,2,2,2,0.0005,False
1,2,2,2,0.0005,False
2,2,2,2,0.0005,False
