S,31,T,prob,Connected,23,18,33,34,22,30,21,27,20,26,16,24,13,15,12,14,7,8
0,0.0,0,0.78,False,,,,,,,,,,,,,,,,,,
1,0.0,0,0.78,False,,,,,,,,,,,,,,,,,,
0,1.0,0,0.22,False,,,,,,,,,,,,,,,,,,
1,1.0,0,0.22,False,,,,,,,,,,,,,,,,,,
0,0.0,1,0.78,False,,,,,,,,,,,,,,,,,,
1,0.0,1,0.78,True,,,,,,,,,,,,,,,,,,
0,1.0,1,0.22,False,,,,,,,,,,,,,,,,,,
1,1.0,1,0.22,False,,,,,,,,,,,,,,,,,,
0,,0,0.75,False,0.0,,,,,,,,,,,,,,,,,
1,,0,0.75,False,0.0,,,,,,,,,,,,,,,,,
0,,0,0.25,False,1.0,,,,,,,,,,,,,,,,,
1,,0,0.25,False,1.0,,,,,,,,,,,,,,,,,
0,,1,0.75,False,0.0,,,,,,,,,,,,,,,,,
1,,1,0.75,True,0.0,,,,,,,,,,,,,,,,,
0,,1,0.25,False,1.0,,,,,,,,,,,,,,,,,
1,,1,0.25,False,1.0,,,,,,,,,,,,,,,,,
0,,0,0.56,False,,0.0,,,,,,,,,,,,,,,,
1,,0,0.56,False,,0.0,,,,,,,,,,,,,,,,
0,,0,0.44,False,,1.0,,,,,,,,,,,,,,,,
1,,0,0.44,False,,1.0,,,,,,,,,,,,,,,,
0,,1,0.56,False,,0.0,,,,,,,,,,,,,,,,
1,,1,0.56,False,,0.0,,,,,,,,,,,,,,,,
0,,1,0.44,False,,1.0,,,,,,,,,,,,,,,,
1,,1,0.44,False,,1.0,,,,,,,,,,,,,,,,
0,,0,0.4092,False,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.4092,False,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.21080000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.21080000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.2508,False,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.2508,False,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.1292,False,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.1292,True,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.4092,False,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.4092,False,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.21080000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.21080000000000002,False,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.2508,False,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.2508,False,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.1292,False,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.1292,True,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.3828,False,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.3828,False,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.2772,False,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.2772,False,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.19720000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.19720000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.1428,False,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.1428,False,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.3828,False,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.3828,False,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.2772,True,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.2772,True,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.19720000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.19720000000000001,False,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.1428,False,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.1428,False,,,,,1.0,1.0,,,,,,,,,,,,
0,,0,0.295,False,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.295,False,,,,,,,0.0,0.0,,,,,,,,,,
