S,34,T,prob,Connected,30,26,25,17,15,7,5,31,32,21,28,20,24,9,19,4,16,3,14
0,0.0,0,0.52,True,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.52,True,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.48,False,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.48,True,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.52,True,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.52,True,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.48,False,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.48,False,,,,,,,,,,,,,,,,,,,
0,,0,0.67,True,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.67,False,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.33,True,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.33,True,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.67,True,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.67,False,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.33,True,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.54,True,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.54,True,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.46,False,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.46,False,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.54,True,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.54,True,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.46,False,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.46,False,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.53,False,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.53,True,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.47,False,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.47,True,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.53,False,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.53,True,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.47,False,,,1.0,,,,,,,,,,,,,,,,
