S,7,T,prob,Connected,4,3,2
0,0.0,0,0.77,True,,,
1,0.0,0,0.77,True,,,
0,1.0,0,0.23,True,,,
1,1.0,0,0.23,True,,,
0,0.0,1,0.77,True,,,
1,0.0,1,0.77,True,,,
0,1.0,1,0.23,True,,,
1,1.0,1,0.23,True,,,
0,,0,0.66,False,0.0,,
1,,0,0.66,False,0.0,,
0,,0,0.34,False,1.0,,
1,,0,0.34,False,1.0,,
0,,1,0.66,False,0.0,,
1,,1,0.66,True,0.0,,
0,,1,0.34,False,1.0,,
1,,1,0.34,False,1.0,,
0,,0,0.59,False,,0.0,
1,,0,0.59,True,,0.0,
0,,0,0.41,False,,1.0,
1,,0,0.41,False,,1.0,
0,,1,0.59,False,,0.0,
1,,1,0.59,False,,0.0,
0,,1,0.41,False,,1.0,
1,,1,0.41,True,,1.0,
0,,0,0.72,True,,,0.0
1,,0,0.72,True,,,0.0
0,,0,0.28,False,,,1.0
1,,0,0.28,False,,,1.0
0,,1,0.72,True,,,0.0
1,,1,0.72,True,,,0.0
0,,1,0.28,True,,,1.0
1,,1,0.28,True,,,1.0
