S,6,8,T,prob,Connected,3,4,2,5
0,0.0,0.0,0,0.345,True,,,,
1,0.0,0.0,0,0.345,True,,,,
0,1.0,0.0,0,0.345,False,,,,
1,1.0,0.0,0,0.345,True,,,,
0,0.0,1.0,0,0.155,True,,,,
1,0.0,1.0,0,0.155,True,,,,
0,1.0,1.0,0,0.155,False,,,,
1,1.0,1.0,0,0.155,True,,,,
0,0.0,0.0,1,0.345,True,,,,
1,0.0,0.0,1,0.345,True,,,,
0,1.0,0.0,1,0.345,False,,,,
1,1.0,0.0,1,0.345,True,,,,
0,0.0,1.0,1,0.155,True,,,,
1,0.0,1.0,1,0.155,True,,,,
0,1.0,1.0,1,0.155,False,,,,
1,1.0,1.0,1,0.155,True,,,,
0,,,0,0.48910000000000003,False,0.0,0.0,,
1,,,0,0.48910000000000003,False,0.0,0.0,,
0,,,0,0.2409,False,1.0,0.0,,
1,,,0,0.2409,False,1.0,0.0,,
0,,,0,0.18090000000000003,False,0.0,1.0,,
1,,,0,0.18090000000000003,False,0.0,1.0,,
0,,,0,0.08910000000000001,False,1.0,1.0,,
1,,,0,0.08910000000000001,False,1.0,1.0,,
0,,,1,0.48910000000000003,False,0.0,0.0,,
1,,,1,0.48910000000000003,True,0.0,0.0,,
0,,,1,0.2409,True,1.0,0.0,,
1,,,1,0.2409,True,1.0,0.0,,
0,,,1,0.18090000000000003,False,0.0,1.0,,
1,,,1,0.18090000000000003,False,0.0,1.0,,
0,,,1,0.08910000000000001,False,1.0,1.0,,
1,,,1,0.08910000000000001,False,1.0,1.0,,
0,,,0,0.42900000000000005,True,,,0.0,0.0
1,,,0,0.42900000000000005,False,,,0.0,0.0
0,,,0,0.22100000000000003,False,,,1.0,0.0
1,,,0,0.22100000000000003,False,,,1.0,0.0
0,,,0,0.23099999999999998,True,,,0.0,1.0
1,,,0,0.23099999999999998,False,,,0.0,1.0
0,,,0,0.119,False,,,1.0,1.0
1,,,0,0.119,False,,,1.0,1.0
0,,,1,0.42900000000000005,True,,,0.0,0.0
1,,,1,0.42900000000000005,False,,,0.0,0.0
0,,,1,0.22100000000000003,False,,,1.0,0.0
1,,,1,0.22100000000000003,False,,,1.0,0.0
0,,,1,0.23099999999999998,True,,,0.0,1.0
1,,,1,0.23099999999999998,False,,,0.0,1.0
0,,,1,0.119,False,,,1.0,1.0
1,,,1,0.119,False,,,1.0,1.0
