S,7,T,prob,Connected,4,1
0,0.0,0,0.7,False,,
1,0.0,0,0.7,False,,
0,1.0,0,0.3,False,,
1,1.0,0,0.3,True,,
0,0.0,1,0.7,True,,
1,0.0,1,0.7,True,,
0,1.0,1,0.3,False,,
1,1.0,1,0.3,True,,
0,,0,0.62,False,0.0,
1,,0,0.62,False,0.0,
0,,0,0.38,True,1.0,
1,,0,0.38,False,1.0,
0,,1,0.62,False,0.0,
1,,1,0.62,False,0.0,
0,,1,0.38,True,1.0,
1,,1,0.38,False,1.0,
0,,0,0.72,False,,0.0
1,,0,0.72,False,,0.0
0,,0,0.28,False,,1.0
1,,0,0.28,True,,1.0
0,,1,0.72,True,,0.0
1,,1,0.72,True,,0.0
0,,1,0.28,False,,1.0
1,,1,0.28,True,,1.0
