S,8,12,T,prob,Connected,1,3,7,10,11
0,0.0,0.0,0,0.496,False,,,,,
1,0.0,0.0,0,0.496,False,,,,,
0,1.0,0.0,0,0.30400000000000005,False,,,,,
1,1.0,0.0,0,0.30400000000000005,False,,,,,
0,0.0,1.0,0,0.124,False,,,,,
1,0.0,1.0,0,0.124,False,,,,,
0,1.0,1.0,0,0.07600000000000001,False,,,,,
1,1.0,1.0,0,0.07600000000000001,False,,,,,
0,0.0,0.0,1,0.496,True,,,,,
1,0.0,0.0,1,0.496,False,,,,,
0,1.0,0.0,1,0.30400000000000005,False,,,,,
1,1.0,0.0,1,0.30400000000000005,False,,,,,
0,0.0,1.0,1,0.124,True,,,,,
1,0.0,1.0,1,0.124,False,,,,,
0,1.0,1.0,1,0.07600000000000001,True,,,,,
1,1.0,1.0,1,0.07600000000000001,False,,,,,
0,,,0,0.6080000000000001,False,0.0,0.0,,,
1,,,0,0.6080000000000001,False,0.0,0.0,,,
0,,,0,0.192,False,1.0,0.0,,,
1,,,0,0.192,False,1.0,0.0,,,
0,,,0,0.15200000000000002,False,0.0,1.0,,,
1,,,0,0.15200000000000002,False,0.0,1.0,,,
0,,,0,0.048,False,1.0,1.0,,,
1,,,0,0.048,True,1.0,1.0,,,
0,,,1,0.6080000000000001,False,0.0,0.0,,,
1,,,1,0.6080000000000001,False,0.0,0.0,,,
0,,,1,0.192,False,1.0,0.0,,,
1,,,1,0.192,False,1.0,0.0,,,
0,,,1,0.15200000000000002,False,0.0,1.0,,,
1,,,1,0.15200000000000002,False,0.0,1.0,,,
0,,,1,0.048,False,1.0,1.0,,,
1,,,1,0.048,True,1.0,1.0,,,
0,,,0,0.202072,False,,,0.0,0.0,0.0
1,,,0,0.202072,False,,,0.0,0.0,0.0
0,,,0,0.186528,False,,,1.0,0.0,0.0
1,,,0,0.186528,False,,,1.0,0.0,0.0
0,,,0,0.146328,False,,,0.0,1.0,0.0
1,,,0,0.146328,False,,,0.0,1.0,0.0
0,,,0,0.135072,False,,,1.0,1.0,0.0
1,,,0,0.135072,False,,,1.0,1.0,0.0
0,,,0,0.09952799999999999,False,,,0.0,0.0,1.0
1,,,0,0.09952799999999999,False,,,0.0,0.0,1.0
0,,,0,0.091872,False,,,1.0,0.0,1.0
1,,,0,0.091872,False,,,1.0,0.0,1.0
0,,,0,0.07207200000000001,False,,,0.0,1.0,1.0
1,,,0,0.07207200000000001,False,,,0.0,1.0,1.0
0,,,0,0.06652799999999999,False,,,1.0,1.0,1.0
1,,,0,0.06652799999999999,False,,,1.0,1.0,1.0
0,,,1,0.202072,False,,,0.0,0.0,0.0
1,,,1,0.202072,False,,,0.0,0.0,0.0
0,,,1,0.186528,False,,,1.0,0.0,0.0
1,,,1,0.186528,False,,,1.0,0.0,0.0
0,,,1,0.146328,False,,,0.0,1.0,0.0
1,,,1,0.146328,False,,,0.0,1.0,0.0
0,,,1,0.135072,False,,,1.0,1.0,0.0
1,,,1,0.135072,False,,,1.0,1.0,0.0
0,,,1,0.09952799999999999,False,,,0.0,0.0,1.0
1,,,1,0.09952799999999999,False,,,0.0,0.0,1.0
0,,,1,0.091872,False,,,1.0,0.0,1.0
1,,,1,0.091872,False,,,1.0,0.0,1.0
0,,,1,0.07207200000000001,False,,,0.0,1.0,1.0
1,,,1,0.07207200000000001,False,,,0.0,1.0,1.0
0,,,1,0.06652799999999999,False,,,1.0,1.0,1.0
1,,,1,0.06652799999999999,True,,,1.0,1.0,1.0
