S,8,T,prob,Connected,4,7,10,1,3
0,0.0,0,0.5,False,,,,,
1,0.0,0,0.5,False,,,,,
0,1.0,0,0.5,False,,,,,
1,1.0,0,0.5,False,,,,,
0,0.0,1,0.5,True,,,,,
1,0.0,1,0.5,False,,,,,
0,1.0,1,0.5,False,,,,,
1,1.0,1,0.5,False,,,,,
0,,0,0.79,False,0.0,,,,
1,,0,0.79,False,0.0,,,,
0,,0,0.21,False,1.0,,,,
1,,0,0.21,False,1.0,,,,
0,,1,0.79,False,0.0,,,,
1,,1,0.79,False,0.0,,,,
0,,1,0.21,False,1.0,,,,
1,,1,0.21,False,1.0,,,,
0,,0,0.43499999999999994,False,,0.0,0.0,,
1,,0,0.43499999999999994,False,,0.0,0.0,,
0,,0,0.145,False,,1.0,0.0,,
1,,0,0.145,False,,1.0,0.0,,
0,,0,0.315,False,,0.0,1.0,,
1,,0,0.315,False,,0.0,1.0,,
0,,0,0.105,False,,1.0,1.0,,
1,,0,0.105,False,,1.0,1.0,,
0,,1,0.43499999999999994,False,,0.0,0.0,,
1,,1,0.43499999999999994,False,,0.0,0.0,,
0,,1,0.145,False,,1.0,0.0,,
1,,1,0.145,False,,1.0,0.0,,
0,,1,0.315,False,,0.0,1.0,,
1,,1,0.315,False,,0.0,1.0,,
0,,1,0.105,False,,1.0,1.0,,
1,,1,0.105,False,,1.0,1.0,,
0,,0,0.2756,False,,,,0.0,0.0
1,,0,0.2756,False,,,,0.0,0.0
0,,0,0.2444,False,,,,1.0,0.0
1,,0,0.2444,False,,,,1.0,0.0
0,,0,0.2544,False,,,,0.0,1.0
1,,0,0.2544,False,,,,0.0,1.0
0,,0,0.22559999999999997,False,,,,1.0,1.0
1,,0,0.22559999999999997,False,,,,1.0,1.0
0,,1,0.2756,True,,,,0.0,0.0
1,,1,0.2756,True,,,,0.0,0.0
0,,1,0.2444,False,,,,1.0,0.0
1,,1,0.2444,False,,,,1.0,0.0
0,,1,0.2544,True,,,,0.0,1.0
1,,1,0.2544,True,,,,0.0,1.0
0,,1,0.22559999999999997,False,,,,1.0,1.0
1,,1,0.22559999999999997,False,,,,1.0,1.0
