S,11,T,prob,Connected,1,9,12,4,7,3,8
0,0.0,0,0.64,False,,,,,,,
1,0.0,0,0.64,False,,,,,,,
0,1.0,0,0.36,False,,,,,,,
1,1.0,0,0.36,False,,,,,,,
0,0.0,1,0.64,False,,,,,,,
1,0.0,1,0.64,False,,,,,,,
0,1.0,1,0.36,False,,,,,,,
1,1.0,1,0.36,True,,,,,,,
0,,0,0.77,True,0.0,,,,,,
1,,0,0.77,True,0.0,,,,,,
0,,0,0.23,False,1.0,,,,,,
1,,0,0.23,False,1.0,,,,,,
0,,1,0.77,False,0.0,,,,,,
1,,1,0.77,False,0.0,,,,,,
0,,1,0.23,False,1.0,,,,,,
1,,1,0.23,False,1.0,,,,,,
0,,0,0.34840000000000004,False,,0.0,0.0,,,,
1,,0,0.34840000000000004,False,,0.0,0.0,,,,
0,,0,0.1716,False,,1.0,0.0,,,,
1,,0,0.1716,False,,1.0,0.0,,,,
0,,0,0.3216,False,,0.0,1.0,,,,
1,,0,0.3216,True,,0.0,1.0,,,,
0,,0,0.1584,False,,1.0,1.0,,,,
1,,0,0.1584,False,,1.0,1.0,,,,
0,,1,0.34840000000000004,False,,0.0,0.0,,,,
1,,1,0.34840000000000004,True,,0.0,0.0,,,,
0,,1,0.1716,False,,1.0,0.0,,,,
1,,1,0.1716,True,,1.0,0.0,,,,
0,,1,0.3216,False,,0.0,1.0,,,,
1,,1,0.3216,True,,0.0,1.0,,,,
0,,1,0.1584,False,,1.0,1.0,,,,
1,,1,0.1584,False,,1.0,1.0,,,,
0,,0,0.37,True,,,,0.0,0.0,,
1,,0,0.37,True,,,,0.0,0.0,,
0,,0,0.13,True,,,,1.0,0.0,,
1,,0,0.13,True,,,,1.0,0.0,,
0,,0,0.37,False,,,,0.0,1.0,,
1,,0,0.37,False,,,,0.0,1.0,,
0,,0,0.13,True,,,,1.0,1.0,,
1,,0,0.13,True,,,,1.0,1.0,,
0,,1,0.37,False,,,,0.0,0.0,,
1,,1,0.37,False,,,,0.0,0.0,,
0,,1,0.13,False,,,,1.0,0.0,,
1,,1,0.13,False,,,,1.0,0.0,,
0,,1,0.37,False,,,,0.0,1.0,,
1,,1,0.37,False,,,,0.0,1.0,,
0,,1,0.13,True,,,,1.0,1.0,,
1,,1,0.13,True,,,,1.0,1.0,,
0,,0,0.28080000000000005,False,,,,,,0.0,0.0
1,,0,0.28080000000000005,False,,,,,,0.0,0.0
0,,0,0.23920000000000002,False,,,,,,1.0,0.0
1,,0,0.23920000000000002,False,,,,,,1.0,0.0
0,,0,0.2592,False,,,,,,0.0,1.0
1,,0,0.2592,False,,,,,,0.0,1.0
0,,0,0.2208,True,,,,,,1.0,1.0
1,,0,0.2208,True,,,,,,1.0,1.0
0,,1,0.28080000000000005,False,,,,,,0.0,0.0
1,,1,0.28080000000000005,False,,,,,,0.0,0.0
0,,1,0.23920000000000002,False,,,,,,1.0,0.0
1,,1,0.23920000000000002,False,,,,,,1.0,0.0
0,,1,0.2592,False,,,,,,0.0,1.0
1,,1,0.2592,False,,,,,,0.0,1.0
0,,1,0.2208,True,,,,,,1.0,1.0
1,,1,0.2208,True,,,,,,1.0,1.0
