S,10,T,prob,Connected,4,9,13,3,6,8
0,0.0,0,0.6,False,,,,,,
1,0.0,0,0.6,False,,,,,,
0,1.0,0,0.4,True,,,,,,
1,1.0,0,0.4,False,,,,,,
0,0.0,1,0.6,False,,,,,,
1,0.0,1,0.6,False,,,,,,
0,1.0,1,0.4,True,,,,,,
1,1.0,1,0.4,False,,,,,,
0,,0,0.77,False,0.0,,,,,
1,,0,0.77,False,0.0,,,,,
0,,0,0.23,False,1.0,,,,,
1,,0,0.23,False,1.0,,,,,
0,,1,0.77,False,0.0,,,,,
1,,1,0.77,False,0.0,,,,,
0,,1,0.23,False,1.0,,,,,
1,,1,0.23,False,1.0,,,,,
0,,0,0.357,True,,0.0,0.0,,,
1,,0,0.357,True,,0.0,0.0,,,
0,,0,0.153,False,,1.0,0.0,,,
1,,0,0.153,False,,1.0,0.0,,,
0,,0,0.34299999999999997,False,,0.0,1.0,,,
1,,0,0.34299999999999997,False,,0.0,1.0,,,
0,,0,0.147,False,,1.0,1.0,,,
1,,0,0.147,False,,1.0,1.0,,,
0,,1,0.357,False,,0.0,0.0,,,
1,,1,0.357,False,,0.0,0.0,,,
0,,1,0.153,False,,1.0,0.0,,,
1,,1,0.153,False,,1.0,0.0,,,
0,,1,0.34299999999999997,True,,0.0,1.0,,,
1,,1,0.34299999999999997,True,,0.0,1.0,,,
0,,1,0.147,True,,1.0,1.0,,,
1,,1,0.147,False,,1.0,1.0,,,
0,,0,0.18090000000000003,False,,,,0.0,0.0,0.0
1,,0,0.18090000000000003,False,,,,0.0,0.0,0.0
0,,0,0.15410000000000001,False,,,,1.0,0.0,0.0
1,,0,0.15410000000000001,False,,,,1.0,0.0,0.0
0,,0,0.18090000000000003,False,,,,0.0,1.0,0.0
1,,0,0.18090000000000003,False,,,,0.0,1.0,0.0
0,,0,0.15410000000000001,False,,,,1.0,1.0,0.0
1,,0,0.15410000000000001,False,,,,1.0,1.0,0.0
0,,0,0.08910000000000001,False,,,,0.0,0.0,1.0
1,,0,0.08910000000000001,False,,,,0.0,0.0,1.0
0,,0,0.07590000000000001,False,,,,1.0,0.0,1.0
1,,0,0.07590000000000001,False,,,,1.0,0.0,1.0
0,,0,0.08910000000000001,False,,,,0.0,1.0,1.0
1,,0,0.08910000000000001,False,,,,0.0,1.0,1.0
0,,0,0.07590000000000001,False,,,,1.0,1.0,1.0
1,,0,0.07590000000000001,False,,,,1.0,1.0,1.0
0,,1,0.18090000000000003,False,,,,0.0,0.0,0.0
1,,1,0.18090000000000003,False,,,,0.0,0.0,0.0
0,,1,0.15410000000000001,False,,,,1.0,0.0,0.0
1,,1,0.15410000000000001,False,,,,1.0,0.0,0.0
0,,1,0.18090000000000003,False,,,,0.0,1.0,0.0
1,,1,0.18090000000000003,False,,,,0.0,1.0,0.0
0,,1,0.15410000000000001,False,,,,1.0,1.0,0.0
1,,1,0.15410000000000001,False,,,,1.0,1.0,0.0
0,,1,0.08910000000000001,False,,,,0.0,0.0,1.0
1,,1,0.08910000000000001,False,,,,0.0,0.0,1.0
0,,1,0.07590000000000001,False,,,,1.0,0.0,1.0
1,,1,0.07590000000000001,False,,,,1.0,0.0,1.0
0,,1,0.08910000000000001,False,,,,0.0,1.0,1.0
1,,1,0.08910000000000001,False,,,,0.0,1.0,1.0
0,,1,0.07590000000000001,False,,,,1.0,1.0,1.0
1,,1,0.07590000000000001,False,,,,1.0,1.0,1.0
