S,8,13,T,prob,Connected,4,6,7
0,0.0,0.0,0,0.405,False,,,
1,0.0,0.0,0,0.405,False,,,
0,1.0,0.0,0,0.135,False,,,
1,1.0,0.0,0,0.135,False,,,
0,0.0,1.0,0,0.34500000000000003,False,,,
1,0.0,1.0,0,0.34500000000000003,False,,,
0,1.0,1.0,0,0.115,False,,,
1,1.0,1.0,0,0.115,False,,,
0,0.0,0.0,1,0.405,False,,,
1,0.0,0.0,1,0.405,False,,,
0,1.0,0.0,1,0.135,False,,,
1,1.0,0.0,1,0.135,False,,,
0,0.0,1.0,1,0.34500000000000003,False,,,
1,0.0,1.0,1,0.34500000000000003,False,,,
0,1.0,1.0,1,0.115,False,,,
1,1.0,1.0,1,0.115,False,,,
0,,,0,0.262774,False,0.0,0.0,0.0
1,,,0,0.262774,False,0.0,0.0,0.0
0,,,0,0.09232600000000002,False,1.0,0.0,0.0
1,,,0,0.09232600000000002,False,1.0,0.0,0.0
0,,,0,0.129426,False,0.0,1.0,0.0
1,,,0,0.129426,False,0.0,1.0,0.0
0,,,0,0.045474,False,1.0,1.0,0.0
1,,,0,0.045474,False,1.0,1.0,0.0
0,,,0,0.23302599999999998,False,0.0,0.0,1.0
1,,,0,0.23302599999999998,False,0.0,0.0,1.0
0,,,0,0.081874,False,1.0,0.0,1.0
1,,,0,0.081874,False,1.0,0.0,1.0
0,,,0,0.11477399999999999,False,0.0,1.0,1.0
1,,,0,0.11477399999999999,False,0.0,1.0,1.0
0,,,0,0.040326,False,1.0,1.0,1.0
1,,,0,0.040326,False,1.0,1.0,1.0
0,,,1,0.262774,False,0.0,0.0,0.0
1,,,1,0.262774,False,0.0,0.0,0.0
0,,,1,0.09232600000000002,False,1.0,0.0,0.0
1,,,1,0.09232600000000002,False,1.0,0.0,0.0
0,,,1,0.129426,False,0.0,1.0,0.0
1,,,1,0.129426,False,0.0,1.0,0.0
0,,,1,0.045474,False,1.0,1.0,0.0
1,,,1,0.045474,False,1.0,1.0,0.0
0,,,1,0.23302599999999998,False,0.0,0.0,1.0
1,,,1,0.23302599999999998,False,0.0,0.0,1.0
0,,,1,0.081874,False,1.0,0.0,1.0
1,,,1,0.081874,False,1.0,0.0,1.0
0,,,1,0.11477399999999999,False,0.0,1.0,1.0
1,,,1,0.11477399999999999,False,0.0,1.0,1.0
0,,,1,0.040326,True,1.0,1.0,1.0
1,,,1,0.040326,True,1.0,1.0,1.0
