S,6,T,prob,Connected,10,13,9,11,3,8,1,4
0,0.0,0,0.6,True,,,,,,,,
1,0.0,0,0.6,True,,,,,,,,
0,1.0,0,0.4,False,,,,,,,,
1,1.0,0,0.4,False,,,,,,,,
0,0.0,1,0.6,True,,,,,,,,
1,0.0,1,0.6,True,,,,,,,,
0,1.0,1,0.4,False,,,,,,,,
1,1.0,1,0.4,True,,,,,,,,
0,,0,0.4092,False,0.0,0.0,,,,,,
1,,0,0.4092,True,0.0,0.0,,,,,,
0,,0,0.2508,False,1.0,0.0,,,,,,
1,,0,0.2508,False,1.0,0.0,,,,,,
0,,0,0.21080000000000002,False,0.0,1.0,,,,,,
1,,0,0.21080000000000002,True,0.0,1.0,,,,,,
0,,0,0.1292,False,1.0,1.0,,,,,,
1,,0,0.1292,False,1.0,1.0,,,,,,
0,,1,0.4092,False,0.0,0.0,,,,,,
1,,1,0.4092,True,0.0,0.0,,,,,,
0,,1,0.2508,False,1.0,0.0,,,,,,
1,,1,0.2508,False,1.0,0.0,,,,,,
0,,1,0.21080000000000002,False,0.0,1.0,,,,,,
1,,1,0.21080000000000002,True,0.0,1.0,,,,,,
0,,1,0.1292,False,1.0,1.0,,,,,,
1,,1,0.1292,False,1.0,1.0,,,,,,
0,,0,0.5451,False,,,0.0,0.0,,,,
1,,0,0.5451,False,,,0.0,0.0,,,,
0,,0,0.2449,False,,,1.0,0.0,,,,
1,,0,0.2449,False,,,1.0,0.0,,,,
0,,0,0.14489999999999997,False,,,0.0,1.0,,,,
1,,0,0.14489999999999997,False,,,0.0,1.0,,,,
0,,0,0.06509999999999999,False,,,1.0,1.0,,,,
1,,0,0.06509999999999999,False,,,1.0,1.0,,,,
0,,1,0.5451,False,,,0.0,0.0,,,,
1,,1,0.5451,False,,,0.0,0.0,,,,
0,,1,0.2449,False,,,1.0,0.0,,,,
1,,1,0.2449,False,,,1.0,0.0,,,,
0,,1,0.14489999999999997,False,,,0.0,1.0,,,,
1,,1,0.14489999999999997,False,,,0.0,1.0,,,,
0,,1,0.06509999999999999,True,,,1.0,1.0,,,,
1,,1,0.06509999999999999,False,,,1.0,1.0,,,,
0,,0,0.4958,False,,,,,0.0,0.0,,
1,,0,0.4958,False,,,,,0.0,0.0,,
0,,0,0.17420000000000002,False,,,,,1.0,0.0,,
1,,0,0.17420000000000002,False,,,,,1.0,0.0,,
0,,0,0.2442,False,,,,,0.0,1.0,,
1,,0,0.2442,True,,,,,0.0,1.0,,
0,,0,0.0858,False,,,,,1.0,1.0,,
1,,0,0.0858,True,,,,,1.0,1.0,,
0,,1,0.4958,False,,,,,0.0,0.0,,
1,,1,0.4958,False,,,,,0.0,0.0,,
0,,1,0.17420000000000002,False,,,,,1.0,0.0,,
1,,1,0.17420000000000002,False,,,,,1.0,0.0,,
0,,1,0.2442,False,,,,,0.0,1.0,,
1,,1,0.2442,True,,,,,0.0,1.0,,
0,,1,0.0858,False,,,,,1.0,1.0,,
1,,1,0.0858,True,,,,,1.0,1.0,,
0,,0,0.49400000000000005,False,,,,,,,0.0,0.0
1,,0,0.49400000000000005,False,,,,,,,0.0,0.0
0,,0,0.156,False,,,,,,,1.0,0.0
1,,0,0.156,False,,,,,,,1.0,0.0
0,,0,0.26599999999999996,False,,,,,,,0.0,1.0
1,,0,0.26599999999999996,False,,,,,,,0.0,1.0
0,,0,0.08399999999999999,False,,,,,,,1.0,1.0
1,,0,0.08399999999999999,False,,,,,,,1.0,1.0
0,,1,0.49400000000000005,False,,,,,,,0.0,0.0
1,,1,0.49400000000000005,False,,,,,,,0.0,0.0
0,,1,0.156,False,,,,,,,1.0,0.0
1,,1,0.156,False,,,,,,,1.0,0.0
0,,1,0.26599999999999996,False,,,,,,,0.0,1.0
1,,1,0.26599999999999996,True,,,,,,,0.0,1.0
0,,1,0.08399999999999999,True,,,,,,,1.0,1.0
1,,1,0.08399999999999999,True,,,,,,,1.0,1.0
