S,1,4,5,6,T,prob,Connected
0,0,0,0,0,0,0.17875935,False
1,0,0,0,0,0,0.17875935,False
0,1,0,0,0,0,0.05339565000000002,False
1,1,0,0,0,0,0.05339565000000002,False
0,0,1,0,0,0,0.14625765000000002,False
1,0,1,0,0,0,0.14625765000000002,False
0,1,1,0,0,0,0.04368735,False
1,1,1,0,0,0,0.04368735,False
0,0,0,1,0,0,0.10498565000000001,False
1,0,0,1,0,0,0.10498565000000001,False
0,1,0,1,0,0,0.03135935000000001,False
1,1,0,1,0,0,0.03135935000000001,False
0,0,1,1,0,0,0.08589735000000001,False
1,0,1,1,0,0,0.08589735000000001,False
0,1,1,1,0,0,0.025657650000000004,False
1,1,1,1,0,0,0.025657650000000004,False
0,0,0,0,1,0,0.08804565,False
1,0,0,0,1,0,0.08804565,True
0,1,0,0,1,0,0.026299350000000006,False
1,1,0,0,1,0,0.026299350000000006,False
0,0,1,0,1,0,0.07203735000000001,False
1,0,1,0,1,0,0.07203735000000001,True
0,1,1,0,1,0,0.02151765,True
1,1,1,0,1,0,0.02151765,False
0,0,0,1,1,0,0.05170935,False
1,0,0,1,1,0,0.05170935,False
0,1,0,1,1,0,0.015445650000000005,False
1,1,0,1,1,0,0.015445650000000005,False
0,0,1,1,1,0,0.04230765000000001,False
1,0,1,1,1,0,0.04230765000000001,False
0,1,1,1,1,0,0.012637350000000002,False
1,1,1,1,1,0,0.012637350000000002,False
0,0,0,0,0,1,0.17875935,False
1,0,0,0,0,1,0.17875935,True
0,1,0,0,0,1,0.05339565000000002,False
1,1,0,0,0,1,0.05339565000000002,False
0,0,1,0,0,1,0.14625765000000002,False
1,0,1,0,0,1,0.14625765000000002,True
0,1,1,0,0,1,0.04368735,True
1,1,1,0,0,1,0.04368735,False
0,0,0,1,0,1,0.10498565000000001,False
1,0,0,1,0,1,0.10498565000000001,True
0,1,0,1,0,1,0.03135935000000001,False
1,1,0,1,0,1,0.03135935000000001,False
0,0,1,1,0,1,0.08589735000000001,False
1,0,1,1,0,1,0.08589735000000001,False
0,1,1,1,0,1,0.025657650000000004,False
1,1,1,1,0,1,0.025657650000000004,False
0,0,0,0,1,1,0.08804565,False
1,0,0,0,1,1,0.08804565,True
0,1,0,0,1,1,0.026299350000000006,False
1,1,0,0,1,1,0.026299350000000006,False
0,0,1,0,1,1,0.07203735000000001,False
1,0,1,0,1,1,0.07203735000000001,True
0,1,1,0,1,1,0.02151765,True
1,1,1,0,1,1,0.02151765,False
0,0,0,1,1,1,0.05170935,False
1,0,0,1,1,1,0.05170935,False
0,1,0,1,1,1,0.015445650000000005,False
1,1,0,1,1,1,0.015445650000000005,False
0,0,1,1,1,1,0.04230765000000001,False
1,0,1,1,1,1,0.04230765000000001,False
0,1,1,1,1,1,0.012637350000000002,False
1,1,1,1,1,1,0.012637350000000002,False
