S,3,4,6,T,prob,Connected
0,0,0,0,0,0.260226,False
1,0,0,0,0,0.260226,False
0,1,0,0,0,0.069174,False
1,1,0,0,0,0.069174,False
0,0,1,0,0,0.16637400000000002,False
1,0,1,0,0,0.16637400000000002,True
0,1,1,0,0,0.044226,True
1,1,1,0,0,0.044226,True
0,0,0,1,0,0.221674,False
1,0,0,1,0,0.221674,True
0,1,0,1,0,0.058926,True
1,1,0,1,0,0.058926,True
0,0,1,1,0,0.14172600000000002,False
1,0,1,1,0,0.14172600000000002,True
0,1,1,1,0,0.037674,True
1,1,1,1,0,0.037674,True
0,0,0,0,1,0.260226,False
1,0,0,0,1,0.260226,False
0,1,0,0,1,0.069174,False
1,1,0,0,1,0.069174,False
0,0,1,0,1,0.16637400000000002,False
1,0,1,0,1,0.16637400000000002,True
0,1,1,0,1,0.044226,True
1,1,1,0,1,0.044226,True
0,0,0,1,1,0.221674,False
1,0,0,1,1,0.221674,True
0,1,0,1,1,0.058926,True
1,1,0,1,1,0.058926,True
0,0,1,1,1,0.14172600000000002,False
1,0,1,1,1,0.14172600000000002,True
0,1,1,1,1,0.037674,True
1,1,1,1,1,0.037674,True
