S,5,T,prob,Connected,1
0,0.0,0,0.44,False,
1,0.0,0,0.44,False,
0,1.0,0,0.49,False,
1,1.0,0,0.49,False,
0,2.0,0,0.07,True,
1,2.0,0,0.07,True,
0,0.0,1,0.44,False,
1,0.0,1,0.44,False,
0,1.0,1,0.49,False,
1,1.0,1,0.49,False,
0,2.0,1,0.07,False,
1,2.0,1,0.07,False,
0,0.0,2,0.44,False,
1,0.0,2,0.44,False,
0,1.0,2,0.49,False,
1,1.0,2,0.49,True,
0,2.0,2,0.07,False,
1,2.0,2,0.07,False,
0,,0,0.33,False,0.0
1,,0,0.33,True,0.0
0,,0,0.25,False,1.0
1,,0,0.25,False,1.0
0,,0,0.42,False,2.0
1,,0,0.42,False,2.0
0,,1,0.33,False,0.0
1,,1,0.33,False,0.0
0,,1,0.25,False,1.0
1,,1,0.25,False,1.0
0,,1,0.42,True,2.0
1,,1,0.42,True,2.0
0,,2,0.33,False,0.0
1,,2,0.33,False,0.0
0,,2,0.25,False,1.0
1,,2,0.25,False,1.0
0,,2,0.42,False,2.0
1,,2,0.42,False,2.0
