S,4,6,T,prob,Connected,2,5
0,0.0,0.0,0,0.42,False,,
1,0.0,0.0,0,0.42,False,,
0,1.0,0.0,0,0.18,False,,
1,1.0,0.0,0,0.18,False,,
0,0.0,1.0,0,0.27999999999999997,False,,
1,0.0,1.0,0,0.27999999999999997,False,,
0,1.0,1.0,0,0.12,False,,
1,1.0,1.0,0,0.12,True,,
0,0.0,0.0,1,0.42,False,,
1,0.0,0.0,1,0.42,False,,
0,1.0,0.0,1,0.18,False,,
1,1.0,0.0,1,0.18,False,,
0,0.0,1.0,1,0.27999999999999997,False,,
1,0.0,1.0,1,0.27999999999999997,False,,
0,1.0,1.0,1,0.12,False,,
1,1.0,1.0,1,0.12,True,,
0,,,0,0.2432,False,0.0,0.0
1,,,0,0.2432,False,0.0,0.0
0,,,0,0.16640000000000002,True,1.0,0.0
1,,,0,0.16640000000000002,True,1.0,0.0
0,,,0,0.2304,False,2.0,0.0
1,,,0,0.2304,False,2.0,0.0
0,,,0,0.07600000000000001,True,0.0,1.0
1,,,0,0.07600000000000001,True,0.0,1.0
0,,,0,0.052000000000000005,True,1.0,1.0
1,,,0,0.052000000000000005,True,1.0,1.0
0,,,0,0.072,True,2.0,1.0
1,,,0,0.072,True,2.0,1.0
0,,,0,0.0608,False,0.0,2.0
1,,,0,0.0608,False,0.0,2.0
0,,,0,0.041600000000000005,False,1.0,2.0
1,,,0,0.041600000000000005,False,1.0,2.0
0,,,0,0.0576,False,2.0,2.0
1,,,0,0.0576,False,2.0,2.0
0,,,1,0.2432,False,0.0,0.0
1,,,1,0.2432,False,0.0,0.0
0,,,1,0.16640000000000002,True,1.0,0.0
1,,,1,0.16640000000000002,True,1.0,0.0
0,,,1,0.2304,False,2.0,0.0
1,,,1,0.2304,False,2.0,0.0
0,,,1,0.07600000000000001,False,0.0,1.0
1,,,1,0.07600000000000001,False,0.0,1.0
0,,,1,0.052000000000000005,False,1.0,1.0
1,,,1,0.052000000000000005,False,1.0,1.0
0,,,1,0.072,False,2.0,1.0
1,,,1,0.072,False,2.0,1.0
0,,,1,0.0608,True,0.0,2.0
1,,,1,0.0608,True,0.0,2.0
0,,,1,0.041600000000000005,True,1.0,2.0
1,,,1,0.041600000000000005,True,1.0,2.0
0,,,1,0.0576,False,2.0,2.0
1,,,1,0.0576,False,2.0,2.0
