S,4,T,prob,Connected
0,0,0,0.22,True
1,0,0,0.22,False
2,0,0,0.22,False
3,0,0,0.22,True
0,1,0,0.19,True
1,1,0,0.19,True
2,1,0,0.19,False
3,1,0,0.19,False
0,2,0,0.26,False
1,2,0,0.26,True
2,2,0,0.26,False
3,2,0,0.26,True
0,3,0,0.33,False
1,3,0,0.33,False
2,3,0,0.33,False
3,3,0,0.33,False
0,0,1,0.22,True
1,0,1,0.22,False
2,0,1,0.22,False
3,0,1,0.22,True
0,1,1,0.19,True
1,1,1,0.19,True
2,1,1,0.19,False
3,1,1,0.19,False
0,2,1,0.26,False
1,2,1,0.26,True
2,2,1,0.26,False
3,2,1,0.26,True
0,3,1,0.33,True
1,3,1,0.33,True
2,3,1,0.33,True
3,3,1,0.33,False
0,0,2,0.22,True
1,0,2,0.22,False
2,0,2,0.22,False
3,0,2,0.22,True
0,1,2,0.19,True
1,1,2,0.19,True
2,1,2,0.19,False
3,1,2,0.19,False
0,2,2,0.26,False
1,2,2,0.26,True
2,2,2,0.26,False
3,2,2,0.26,True
0,3,2,0.33,True
1,3,2,0.33,True
2,3,2,0.33,True
3,3,2,0.33,False
0,0,3,0.22,True
1,0,3,0.22,False
2,0,3,0.22,False
3,0,3,0.22,True
0,1,3,0.19,False
1,1,3,0.19,False
2,1,3,0.19,False
3,1,3,0.19,False
0,2,3,0.26,False
1,2,3,0.26,False
2,2,3,0.26,False
3,2,3,0.26,False
0,3,3,0.33,True
1,3,3,0.33,True
2,3,3,0.33,True
3,3,3,0.33,False
