S,73,T,prob,Connected,67,63,60,31,24,23,15,11,10,4,2,69,70,66,68,64,65,56,59,54,58,53,55,44,52,40,48,38,47,37,46,18,36,8,34
0,0.0,0,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.29,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.29,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.29,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.29,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1,0.36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.27,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.47,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.47,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.47,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.26,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.47,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.47,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.47,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.41,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.59,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.59,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.59,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.41,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.59,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.59,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.59,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.55,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.55,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.55,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.4,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.05,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.05,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.05,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.55,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.55,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.55,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.4,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.05,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.05,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.44,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.56,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.56,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.56,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.44,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.56,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.56,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.56,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.49,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.49,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.49,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.51,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.51,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.51,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.49,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.49,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.49,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.51,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.51,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.51,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.21,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.79,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.79,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.79,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.21,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.79,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.79,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.79,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.7,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.7,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.7,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.7,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.7,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.7,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.3,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.41,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.33,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.41,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.26,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.33,True,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.23,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.23,True,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.23,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.33,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.44,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.23,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.23,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
