S,62,T,prob,Connected,61,17,58,59,51,56,50,55,44,54,42,53,41,52,33,43,21,34,20,40,9,37,5,35,1,31,27,48,49
0,0.0,0,0.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.34,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.34,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.34,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.34,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.34,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.34,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.66,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.10360000000000001,True,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1258,True,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.05600000000000001,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.07600000000000001,True,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.07600000000000001,True,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.12040000000000001,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.12040000000000001,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1462,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1462,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.12040000000000001,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.12040000000000001,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1462,True,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1462,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
