S,53,T,prob,Connected,52,47,43,39,38,26,25,18,8,5,2,57,60,41,59,40,56,30,54,29,48,22,49,20,45,15,34,14,37,6,27,31,32
0,0.0,0,0.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.45,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.37,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.63,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
