S,57,T,prob,Connected,40,39,34,32,29,24,19,16,15,14,10,9,8,1,55,58,53,56,48,50,42,44,41,54,38,51,30,43,25,36,20,33,7,26
0,0.0,0,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2,0.23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.6,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.6,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.6,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.6,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.6,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.6,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.52,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.52,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.52,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.52,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.52,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.52,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.48,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.44,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.44,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.56,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.52,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.52,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.52,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.52,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.27,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.27,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.52,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.52,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.21,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.21,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.25,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.25,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.24,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.24,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.25,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.25,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.24,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.24,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.25,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.25,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.51,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.24,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.24,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.22,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.22,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.34,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.34,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.22,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.22,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.34,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.34,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.22,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.22,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.44,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.34,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.34,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.6,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.6,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.6,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.6,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.4,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.6,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.6,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.54,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.54,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.2,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.2,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.26,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.26,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.54,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.54,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.2,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.2,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.26,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.26,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.54,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.54,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.2,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.2,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.26,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.26,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.53,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.53,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.47,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.47,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.53,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.53,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.47,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.47,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.53,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.53,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.47,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.47,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.53,True,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.47,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.54,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
