S,57,T,prob,Connected,43,40,35,31,23,48,52,47,56,46,51,38,39,34,37,33,36,26,29,19,21,18,20,11,15,4,5
0,0.0,0,0.42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0,0.17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.41,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1,0.17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.21,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.27,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.21,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.27,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.52,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
