S,51,T,prob,Connected,49,47,46,45,37,34,31,27,23,21,20,19,17,16,15,14,4,3,2,43,50,25,33,24,32,5,18,35,39,41
0,0.0,0,0.57,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.57,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.43,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.43,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.57,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.57,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.43,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.43,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.67,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.67,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.05,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.05,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.67,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.67,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.05,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.24,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.24,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.24,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.24,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.39,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.39,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.3,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.39,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.39,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.3,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.3,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.31,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.36,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
