S,41,51,T,prob,Connected,39,49,31,42,30,33,24,32,23,29,18,21,7,16,5,15,1,10,37,47,48
0,0.0,0.0,0,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,0,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,0,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,0,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,0,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,0,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,0,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,0,0.171,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,0,0.171,False,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,0,0.171,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,0,0.1935,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,0,0.1935,False,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,0,0.1935,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,0,0.0855,False,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,0,0.0855,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,0,0.0855,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,1,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,1,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,1,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,1,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,1,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,1,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,1,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,1,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,1,0.171,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,1,0.171,False,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,1,0.171,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,1,0.1935,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1,0.1935,True,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,1,0.1935,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,1,0.0855,False,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,1,0.0855,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,1,0.0855,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,2,0.20900000000000002,True,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,2,0.20900000000000002,True,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,2,0.20900000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,2,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,2,0.23650000000000002,True,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,2,0.23650000000000002,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,2,0.10450000000000001,True,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,2,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,2,0.10450000000000001,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,2,0.171,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,2,0.171,False,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,2,0.171,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,2,0.1935,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,2,0.1935,True,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,2,0.1935,False,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,2,0.0855,False,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,2,0.0855,False,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,2,0.0855,False,,,,,,,,,,,,,,,,,,,,,
0,,,0,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.12150000000000001,True,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.1935,True,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,0,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,0,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,0,0.23650000000000002,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.12150000000000001,True,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.135,False,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.165,False,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.1935,False,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,1,0.23650000000000002,False,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,,1,0.23650000000000002,False,1.0,2.0,,,,,,,,,,,,,,,,,,,
2,,,1,0.23650000000000002,False,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.12150000000000001,False,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,,,2,0.12150000000000001,True,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,,2,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,,2,0.14850000000000002,True,1.0,0.0,,,,,,,,,,,,,,,,,,,
