S,48,T,prob,Connected,46,44,43,36,33,22,19,18,13,3,40,41,37,38,30,31,27,29,20,28,14,25,8,24,2,16,1,17
0,0.0,0,0.67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.33,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.67,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.33,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.37,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.37,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.37,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.37,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.52,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.52,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.48,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
