S,41,T,prob,Connected,36,27,11,7,42,46,40,43,34,37,32,33,29,30,26,28,22,24,20,23,14,15,12,17,8,13
0,0.0,0,0.63,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.63,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.37,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.37,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.63,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.63,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.37,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.37,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.57,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.57,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.57,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.57,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.37,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.37,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.63,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.63,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.37,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.37,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.63,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.63,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.25,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.25,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.34,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.34,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.25,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.25,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.34,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.34,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3149,True,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.3149,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.3551,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.3551,True,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1551,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1551,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.17490000000000003,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.17490000000000003,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.3149,True,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.3149,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.3551,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.3551,True,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1551,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1551,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.17490000000000003,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.17490000000000003,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.24380000000000002,True,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.24380000000000002,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.2862,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.2862,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.20700000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.20700000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.24300000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.24300000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.0092,True,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.0092,False,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.0108,True,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.0108,True,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.24380000000000002,True,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.24380000000000002,False,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.2862,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.2862,True,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.20700000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.20700000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.24300000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.24300000000000002,True,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.0092,True,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.0092,False,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.0108,True,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.0108,True,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.08960000000000001,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.08960000000000001,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.1472,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.1472,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.08320000000000001,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.08320000000000001,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.15120000000000003,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.15120000000000003,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.24840000000000004,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.24840000000000004,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.14040000000000002,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.14040000000000002,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.039200000000000006,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
1,,0,0.039200000000000006,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
0,,0,0.06440000000000001,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
1,,0,0.06440000000000001,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
0,,0,0.0364,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
1,,0,0.0364,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
0,,1,0.08960000000000001,True,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.08960000000000001,True,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.1472,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.1472,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.08320000000000001,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.08320000000000001,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.15120000000000003,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.15120000000000003,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
