S,29,T,prob,Connected,21,7,33,34,23,26,20,25,18,22,12,17,10,15,1,5
0,0.0,0,0.59,False,,,,,,,,,,,,,,,,
1,0.0,0,0.59,True,,,,,,,,,,,,,,,,
0,1.0,0,0.41,False,,,,,,,,,,,,,,,,
1,1.0,0,0.41,False,,,,,,,,,,,,,,,,
0,0.0,1,0.59,False,,,,,,,,,,,,,,,,
1,0.0,1,0.59,True,,,,,,,,,,,,,,,,
0,1.0,1,0.41,True,,,,,,,,,,,,,,,,
1,1.0,1,0.41,True,,,,,,,,,,,,,,,,
0,,0,0.5,False,0.0,,,,,,,,,,,,,,,
1,,0,0.5,False,0.0,,,,,,,,,,,,,,,
0,,0,0.5,False,1.0,,,,,,,,,,,,,,,
1,,0,0.5,True,1.0,,,,,,,,,,,,,,,
0,,1,0.5,False,0.0,,,,,,,,,,,,,,,
1,,1,0.5,False,0.0,,,,,,,,,,,,,,,
0,,1,0.5,False,1.0,,,,,,,,,,,,,,,
1,,1,0.5,True,1.0,,,,,,,,,,,,,,,
0,,0,0.64,False,,0.0,,,,,,,,,,,,,,
1,,0,0.64,False,,0.0,,,,,,,,,,,,,,
0,,0,0.36,False,,1.0,,,,,,,,,,,,,,
1,,0,0.36,False,,1.0,,,,,,,,,,,,,,
0,,1,0.64,False,,0.0,,,,,,,,,,,,,,
1,,1,0.64,True,,0.0,,,,,,,,,,,,,,
0,,1,0.36,False,,1.0,,,,,,,,,,,,,,
1,,1,0.36,False,,1.0,,,,,,,,,,,,,,
0,,0,0.4056,False,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.4056,False,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.3744,False,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.3744,False,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.1144,False,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.1144,False,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.1056,False,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.1056,False,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.4056,False,,,0.0,0.0,,,,,,,,,,,,
