S,19,T,prob,Connected,9,4,25,34,24,28,20,29,13,27,8,21,7,17,6,16,5,15,3,12
0,0.0,0,0.66,False,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.66,False,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.34,False,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.34,False,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.66,True,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.66,False,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.34,False,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.34,True,,,,,,,,,,,,,,,,,,,,
0,,0,0.79,False,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.79,False,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.21,False,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.21,True,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.79,False,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.79,False,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.21,False,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.55,False,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.55,False,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.45,False,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.55,True,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.55,False,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.45,False,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.45,False,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.48750000000000004,False,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.48750000000000004,False,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.1625,False,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.1625,True,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.26249999999999996,False,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.26249999999999996,False,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.0875,False,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.0875,True,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.48750000000000004,False,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.48750000000000004,False,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.1625,False,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.1625,False,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.26249999999999996,False,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.26249999999999996,False,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.0875,False,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.0875,False,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.5616,False,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.5616,False,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.15839999999999999,False,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.15839999999999999,False,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.21840000000000004,False,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.21840000000000004,False,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.06160000000000001,False,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.06160000000000001,False,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.5616,False,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.5616,False,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.15839999999999999,False,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.15839999999999999,False,,,,,1.0,0.0,,,,,,,,,,,,,,
