S,30,T,prob,Connected,29,26,25,24,15,12,11,10,8,7,6,5,4,18,22,14,20
0,0.0,0,0.79,True,,,,,,,,,,,,,,,,,
1,0.0,0,0.79,True,,,,,,,,,,,,,,,,,
0,1.0,0,0.21,False,,,,,,,,,,,,,,,,,
1,1.0,0,0.21,False,,,,,,,,,,,,,,,,,
0,0.0,1,0.79,False,,,,,,,,,,,,,,,,,
1,0.0,1,0.79,False,,,,,,,,,,,,,,,,,
0,1.0,1,0.21,True,,,,,,,,,,,,,,,,,
1,1.0,1,0.21,True,,,,,,,,,,,,,,,,,
0,,0,0.59,False,0.0,,,,,,,,,,,,,,,,
1,,0,0.59,False,0.0,,,,,,,,,,,,,,,,
0,,0,0.41,False,1.0,,,,,,,,,,,,,,,,
1,,0,0.41,False,1.0,,,,,,,,,,,,,,,,
0,,1,0.59,True,0.0,,,,,,,,,,,,,,,,
1,,1,0.59,True,0.0,,,,,,,,,,,,,,,,
0,,1,0.41,False,1.0,,,,,,,,,,,,,,,,
1,,1,0.41,False,1.0,,,,,,,,,,,,,,,,
0,,0,0.74,False,,0.0,,,,,,,,,,,,,,,
1,,0,0.74,True,,0.0,,,,,,,,,,,,,,,
0,,0,0.26,True,,1.0,,,,,,,,,,,,,,,
1,,0,0.26,False,,1.0,,,,,,,,,,,,,,,
0,,1,0.74,False,,0.0,,,,,,,,,,,,,,,
1,,1,0.74,True,,0.0,,,,,,,,,,,,,,,
0,,1,0.26,True,,1.0,,,,,,,,,,,,,,,
1,,1,0.26,False,,1.0,,,,,,,,,,,,,,,
0,,0,0.69,True,,,0.0,,,,,,,,,,,,,,
1,,0,0.69,True,,,0.0,,,,,,,,,,,,,,
0,,0,0.31,False,,,1.0,,,,,,,,,,,,,,
1,,0,0.31,False,,,1.0,,,,,,,,,,,,,,
0,,1,0.69,False,,,0.0,,,,,,,,,,,,,,
1,,1,0.69,False,,,0.0,,,,,,,,,,,,,,
0,,1,0.31,True,,,1.0,,,,,,,,,,,,,,
1,,1,0.31,True,,,1.0,,,,,,,,,,,,,,
0,,0,0.67,False,,,,0.0,,,,,,,,,,,,,
1,,0,0.67,False,,,,0.0,,,,,,,,,,,,,
0,,0,0.33,True,,,,1.0,,,,,,,,,,,,,
1,,0,0.33,True,,,,1.0,,,,,,,,,,,,,
0,,1,0.67,False,,,,0.0,,,,,,,,,,,,,
1,,1,0.67,True,,,,0.0,,,,,,,,,,,,,
0,,1,0.33,True,,,,1.0,,,,,,,,,,,,,
1,,1,0.33,True,,,,1.0,,,,,,,,,,,,,
0,,0,0.61,False,,,,,0.0,,,,,,,,,,,,
1,,0,0.61,False,,,,,0.0,,,,,,,,,,,,
0,,0,0.39,True,,,,,1.0,,,,,,,,,,,,
1,,0,0.39,True,,,,,1.0,,,,,,,,,,,,
0,,1,0.61,False,,,,,0.0,,,,,,,,,,,,
1,,1,0.61,True,,,,,0.0,,,,,,,,,,,,
0,,1,0.39,False,,,,,1.0,,,,,,,,,,,,
1,,1,0.39,False,,,,,1.0,,,,,,,,,,,,
0,,0,0.7,True,,,,,,0.0,,,,,,,,,,,
1,,0,0.7,True,,,,,,0.0,,,,,,,,,,,
0,,0,0.3,True,,,,,,1.0,,,,,,,,,,,
1,,0,0.3,True,,,,,,1.0,,,,,,,,,,,
0,,1,0.7,True,,,,,,0.0,,,,,,,,,,,
1,,1,0.7,True,,,,,,0.0,,,,,,,,,,,
0,,1,0.3,True,,,,,,1.0,,,,,,,,,,,
1,,1,0.3,True,,,,,,1.0,,,,,,,,,,,
0,,0,0.58,True,,,,,,,0.0,,,,,,,,,,
1,,0,0.58,True,,,,,,,0.0,,,,,,,,,,
0,,0,0.42,False,,,,,,,1.0,,,,,,,,,,
1,,0,0.42,False,,,,,,,1.0,,,,,,,,,,
0,,1,0.58,True,,,,,,,0.0,,,,,,,,,,
1,,1,0.58,True,,,,,,,0.0,,,,,,,,,,
0,,1,0.42,False,,,,,,,1.0,,,,,,,,,,
1,,1,0.42,True,,,,,,,1.0,,,,,,,,,,
0,,0,0.63,False,,,,,,,,0.0,,,,,,,,,
1,,0,0.63,True,,,,,,,,0.0,,,,,,,,,
0,,0,0.37,False,,,,,,,,1.0,,,,,,,,,
1,,0,0.37,True,,,,,,,,1.0,,,,,,,,,
0,,1,0.63,False,,,,,,,,0.0,,,,,,,,,
1,,1,0.63,True,,,,,,,,0.0,,,,,,,,,
0,,1,0.37,False,,,,,,,,1.0,,,,,,,,,
1,,1,0.37,True,,,,,,,,1.0,,,,,,,,,
0,,0,0.77,False,,,,,,,,,0.0,,,,,,,,
1,,0,0.77,False,,,,,,,,,0.0,,,,,,,,
0,,0,0.23,False,,,,,,,,,1.0,,,,,,,,
1,,0,0.23,False,,,,,,,,,1.0,,,,,,,,
0,,1,0.77,False,,,,,,,,,0.0,,,,,,,,
1,,1,0.77,True,,,,,,,,,0.0,,,,,,,,
0,,1,0.23,True,,,,,,,,,1.0,,,,,,,,
1,,1,0.23,False,,,,,,,,,1.0,,,,,,,,
