S,33,T,prob,Connected,15,10,3,29,30,24,25,21,23,16,17,12,13,7,8
0,0.0,0,0.79,True,,,,,,,,,,,,,,,
1,0.0,0,0.79,False,,,,,,,,,,,,,,,
0,1.0,0,0.21,False,,,,,,,,,,,,,,,
1,1.0,0,0.21,True,,,,,,,,,,,,,,,
0,0.0,1,0.79,True,,,,,,,,,,,,,,,
1,0.0,1,0.79,False,,,,,,,,,,,,,,,
0,1.0,1,0.21,False,,,,,,,,,,,,,,,
1,1.0,1,0.21,True,,,,,,,,,,,,,,,
0,,0,0.77,True,0.0,,,,,,,,,,,,,,
1,,0,0.77,True,0.0,,,,,,,,,,,,,,
0,,0,0.23,True,1.0,,,,,,,,,,,,,,
1,,0,0.23,True,1.0,,,,,,,,,,,,,,
0,,1,0.77,True,0.0,,,,,,,,,,,,,,
1,,1,0.77,True,0.0,,,,,,,,,,,,,,
0,,1,0.23,True,1.0,,,,,,,,,,,,,,
1,,1,0.23,True,1.0,,,,,,,,,,,,,,
0,,0,0.51,True,,0.0,,,,,,,,,,,,,
1,,0,0.51,True,,0.0,,,,,,,,,,,,,
0,,0,0.49,False,,1.0,,,,,,,,,,,,,
1,,0,0.49,False,,1.0,,,,,,,,,,,,,
0,,1,0.51,True,,0.0,,,,,,,,,,,,,
1,,1,0.51,True,,0.0,,,,,,,,,,,,,
0,,1,0.49,True,,1.0,,,,,,,,,,,,,
1,,1,0.49,True,,1.0,,,,,,,,,,,,,
0,,0,0.65,True,,,0.0,,,,,,,,,,,,
1,,0,0.65,True,,,0.0,,,,,,,,,,,,
0,,0,0.35,False,,,1.0,,,,,,,,,,,,
1,,0,0.35,True,,,1.0,,,,,,,,,,,,
0,,1,0.65,False,,,0.0,,,,,,,,,,,,
1,,1,0.65,False,,,0.0,,,,,,,,,,,,
0,,1,0.35,False,,,1.0,,,,,,,,,,,,
1,,1,0.35,True,,,1.0,,,,,,,,,,,,
0,,0,0.27030000000000004,False,,,,0.0,0.0,,,,,,,,,,
1,,0,0.27030000000000004,False,,,,0.0,0.0,,,,,,,,,,
0,,0,0.2397,True,,,,1.0,0.0,,,,,,,,,,
1,,0,0.2397,True,,,,1.0,0.0,,,,,,,,,,
0,,0,0.2597,False,,,,0.0,1.0,,,,,,,,,,
1,,0,0.2597,False,,,,0.0,1.0,,,,,,,,,,
0,,0,0.23029999999999998,False,,,,1.0,1.0,,,,,,,,,,
1,,0,0.23029999999999998,False,,,,1.0,1.0,,,,,,,,,,
0,,1,0.27030000000000004,False,,,,0.0,0.0,,,,,,,,,,
1,,1,0.27030000000000004,False,,,,0.0,0.0,,,,,,,,,,
0,,1,0.2397,True,,,,1.0,0.0,,,,,,,,,,
1,,1,0.2397,True,,,,1.0,0.0,,,,,,,,,,
0,,1,0.2597,False,,,,0.0,1.0,,,,,,,,,,
1,,1,0.2597,False,,,,0.0,1.0,,,,,,,,,,
0,,1,0.23029999999999998,False,,,,1.0,1.0,,,,,,,,,,
1,,1,0.23029999999999998,False,,,,1.0,1.0,,,,,,,,,,
0,,0,0.5698,False,,,,,,0.0,0.0,,,,,,,,
1,,0,0.5698,False,,,,,,0.0,0.0,,,,,,,,
0,,0,0.20020000000000002,False,,,,,,1.0,0.0,,,,,,,,
1,,0,0.20020000000000002,False,,,,,,1.0,0.0,,,,,,,,
0,,0,0.17020000000000002,True,,,,,,0.0,1.0,,,,,,,,
1,,0,0.17020000000000002,True,,,,,,0.0,1.0,,,,,,,,
0,,0,0.059800000000000006,False,,,,,,1.0,1.0,,,,,,,,
1,,0,0.059800000000000006,False,,,,,,1.0,1.0,,,,,,,,
0,,1,0.5698,False,,,,,,0.0,0.0,,,,,,,,
1,,1,0.5698,False,,,,,,0.0,0.0,,,,,,,,
0,,1,0.20020000000000002,False,,,,,,1.0,0.0,,,,,,,,
1,,1,0.20020000000000002,False,,,,,,1.0,0.0,,,,,,,,
0,,1,0.17020000000000002,True,,,,,,0.0,1.0,,,,,,,,
1,,1,0.17020000000000002,True,,,,,,0.0,1.0,,,,,,,,
0,,1,0.059800000000000006,False,,,,,,1.0,1.0,,,,,,,,
1,,1,0.059800000000000006,False,,,,,,1.0,1.0,,,,,,,,
0,,0,0.4712,True,,,,,,,,0.0,0.0,,,,,,
1,,0,0.4712,False,,,,,,,,0.0,0.0,,,,,,
0,,0,0.2888,True,,,,,,,,1.0,0.0,,,,,,
1,,0,0.2888,True,,,,,,,,1.0,0.0,,,,,,
0,,0,0.1488,True,,,,,,,,0.0,1.0,,,,,,
1,,0,0.1488,False,,,,,,,,0.0,1.0,,,,,,
0,,0,0.0912,True,,,,,,,,1.0,1.0,,,,,,
1,,0,0.0912,True,,,,,,,,1.0,1.0,,,,,,
0,,1,0.4712,True,,,,,,,,0.0,0.0,,,,,,
1,,1,0.4712,False,,,,,,,,0.0,0.0,,,,,,
0,,1,0.2888,True,,,,,,,,1.0,0.0,,,,,,
1,,1,0.2888,True,,,,,,,,1.0,0.0,,,,,,
0,,1,0.1488,True,,,,,,,,0.0,1.0,,,,,,
1,,1,0.1488,False,,,,,,,,0.0,1.0,,,,,,
0,,1,0.0912,True,,,,,,,,1.0,1.0,,,,,,
1,,1,0.0912,True,,,,,,,,1.0,1.0,,,,,,
0,,0,0.39,True,,,,,,,,,,0.0,0.0,,,,
1,,0,0.39,True,,,,,,,,,,0.0,0.0,,,,
0,,0,0.11,False,,,,,,,,,,1.0,0.0,,,,
1,,0,0.11,False,,,,,,,,,,1.0,0.0,,,,
0,,0,0.39,False,,,,,,,,,,0.0,1.0,,,,
1,,0,0.39,False,,,,,,,,,,0.0,1.0,,,,
0,,0,0.11,False,,,,,,,,,,1.0,1.0,,,,
1,,0,0.11,False,,,,,,,,,,1.0,1.0,,,,
0,,1,0.39,True,,,,,,,,,,0.0,0.0,,,,
1,,1,0.39,True,,,,,,,,,,0.0,0.0,,,,
0,,1,0.11,False,,,,,,,,,,1.0,0.0,,,,
1,,1,0.11,False,,,,,,,,,,1.0,0.0,,,,
0,,1,0.39,False,,,,,,,,,,0.0,1.0,,,,
1,,1,0.39,False,,,,,,,,,,0.0,1.0,,,,
0,,1,0.11,False,,,,,,,,,,1.0,1.0,,,,
1,,1,0.11,False,,,,,,,,,,1.0,1.0,,,,
0,,0,0.41440000000000005,False,,,,,,,,,,,,0.0,0.0,,
1,,0,0.41440000000000005,False,,,,,,,,,,,,0.0,0.0,,
0,,0,0.1456,False,,,,,,,,,,,,1.0,0.0,,
1,,0,0.1456,False,,,,,,,,,,,,1.0,0.0,,
0,,0,0.3256,False,,,,,,,,,,,,0.0,1.0,,
1,,0,0.3256,True,,,,,,,,,,,,0.0,1.0,,
0,,0,0.1144,True,,,,,,,,,,,,1.0,1.0,,
1,,0,0.1144,True,,,,,,,,,,,,1.0,1.0,,
0,,1,0.41440000000000005,False,,,,,,,,,,,,0.0,0.0,,
1,,1,0.41440000000000005,True,,,,,,,,,,,,0.0,0.0,,
0,,1,0.1456,True,,,,,,,,,,,,1.0,0.0,,
1,,1,0.1456,True,,,,,,,,,,,,1.0,0.0,,
0,,1,0.3256,False,,,,,,,,,,,,0.0,1.0,,
1,,1,0.3256,False,,,,,,,,,,,,0.0,1.0,,
0,,1,0.1144,False,,,,,,,,,,,,1.0,1.0,,
1,,1,0.1144,False,,,,,,,,,,,,1.0,1.0,,
0,,0,0.3456,False,,,,,,,,,,,,,,0.0,0.0
1,,0,0.3456,False,,,,,,,,,,,,,,0.0,0.0
0,,0,0.19440000000000002,False,,,,,,,,,,,,,,1.0,0.0
1,,0,0.19440000000000002,False,,,,,,,,,,,,,,1.0,0.0
0,,0,0.2944,False,,,,,,,,,,,,,,0.0,1.0
1,,0,0.2944,False,,,,,,,,,,,,,,0.0,1.0
0,,0,0.1656,False,,,,,,,,,,,,,,1.0,1.0
1,,0,0.1656,False,,,,,,,,,,,,,,1.0,1.0
0,,1,0.3456,True,,,,,,,,,,,,,,0.0,0.0
1,,1,0.3456,True,,,,,,,,,,,,,,0.0,0.0
0,,1,0.19440000000000002,True,,,,,,,,,,,,,,1.0,0.0
1,,1,0.19440000000000002,False,,,,,,,,,,,,,,1.0,0.0
0,,1,0.2944,True,,,,,,,,,,,,,,0.0,1.0
1,,1,0.2944,True,,,,,,,,,,,,,,0.0,1.0
0,,1,0.1656,True,,,,,,,,,,,,,,1.0,1.0
1,,1,0.1656,False,,,,,,,,,,,,,,1.0,1.0
