S,32,33,T,prob,Connected,22,26,10,11,9,18,8,15,5,14,3,13
0,0.0,0.0,0,0.3968,False,,,,,,,,,,,,
1,0.0,0.0,0,0.3968,True,,,,,,,,,,,,
0,1.0,0.0,0,0.2432,False,,,,,,,,,,,,
1,1.0,0.0,0,0.2432,False,,,,,,,,,,,,
0,0.0,1.0,0,0.22319999999999998,False,,,,,,,,,,,,
1,0.0,1.0,0,0.22319999999999998,True,,,,,,,,,,,,
0,1.0,1.0,0,0.1368,False,,,,,,,,,,,,
1,1.0,1.0,0,0.1368,False,,,,,,,,,,,,
0,0.0,0.0,1,0.3968,False,,,,,,,,,,,,
1,0.0,0.0,1,0.3968,True,,,,,,,,,,,,
0,1.0,0.0,1,0.2432,False,,,,,,,,,,,,
1,1.0,0.0,1,0.2432,False,,,,,,,,,,,,
0,0.0,1.0,1,0.22319999999999998,False,,,,,,,,,,,,
1,0.0,1.0,1,0.22319999999999998,True,,,,,,,,,,,,
0,1.0,1.0,1,0.1368,False,,,,,,,,,,,,
1,1.0,1.0,1,0.1368,False,,,,,,,,,,,,
0,,,0,0.30800000000000005,True,0.0,0.0,,,,,,,,,,
1,,,0,0.30800000000000005,True,0.0,0.0,,,,,,,,,,
0,,,0,0.24200000000000002,False,1.0,0.0,,,,,,,,,,
1,,,0,0.24200000000000002,True,1.0,0.0,,,,,,,,,,
0,,,0,0.25200000000000006,False,0.0,1.0,,,,,,,,,,
1,,,0,0.25200000000000006,False,0.0,1.0,,,,,,,,,,
0,,,0,0.198,False,1.0,1.0,,,,,,,,,,
1,,,0,0.198,True,1.0,1.0,,,,,,,,,,
0,,,1,0.30800000000000005,True,0.0,0.0,,,,,,,,,,
1,,,1,0.30800000000000005,True,0.0,0.0,,,,,,,,,,
0,,,1,0.24200000000000002,False,1.0,0.0,,,,,,,,,,
1,,,1,0.24200000000000002,True,1.0,0.0,,,,,,,,,,
0,,,1,0.25200000000000006,False,0.0,1.0,,,,,,,,,,
1,,,1,0.25200000000000006,False,0.0,1.0,,,,,,,,,,
0,,,1,0.198,False,1.0,1.0,,,,,,,,,,
1,,,1,0.198,True,1.0,1.0,,,,,,,,,,
0,,,0,0.5135000000000001,True,,,0.0,0.0,,,,,,,,
1,,,0,0.5135000000000001,True,,,0.0,0.0,,,,,,,,
0,,,0,0.27649999999999997,True,,,1.0,0.0,,,,,,,,
1,,,0,0.27649999999999997,True,,,1.0,0.0,,,,,,,,
0,,,0,0.1365,True,,,0.0,1.0,,,,,,,,
1,,,0,0.1365,True,,,0.0,1.0,,,,,,,,
0,,,0,0.0735,True,,,1.0,1.0,,,,,,,,
1,,,0,0.0735,True,,,1.0,1.0,,,,,,,,
0,,,1,0.5135000000000001,True,,,0.0,0.0,,,,,,,,
1,,,1,0.5135000000000001,True,,,0.0,0.0,,,,,,,,
0,,,1,0.27649999999999997,True,,,1.0,0.0,,,,,,,,
1,,,1,0.27649999999999997,True,,,1.0,0.0,,,,,,,,
0,,,1,0.1365,True,,,0.0,1.0,,,,,,,,
1,,,1,0.1365,True,,,0.0,1.0,,,,,,,,
0,,,1,0.0735,True,,,1.0,1.0,,,,,,,,
1,,,1,0.0735,True,,,1.0,1.0,,,,,,,,
0,,,0,0.3,True,,,,,0.0,0.0,,,,,,
1,,,0,0.3,True,,,,,0.0,0.0,,,,,,
0,,,0,0.3,False,,,,,1.0,0.0,,,,,,
1,,,0,0.3,True,,,,,1.0,0.0,,,,,,
0,,,0,0.2,True,,,,,0.0,1.0,,,,,,
1,,,0,0.2,True,,,,,0.0,1.0,,,,,,
0,,,0,0.2,False,,,,,1.0,1.0,,,,,,
1,,,0,0.2,True,,,,,1.0,1.0,,,,,,
0,,,1,0.3,True,,,,,0.0,0.0,,,,,,
1,,,1,0.3,True,,,,,0.0,0.0,,,,,,
0,,,1,0.3,False,,,,,1.0,0.0,,,,,,
1,,,1,0.3,True,,,,,1.0,0.0,,,,,,
0,,,1,0.2,False,,,,,0.0,1.0,,,,,,
1,,,1,0.2,False,,,,,0.0,1.0,,,,,,
0,,,1,0.2,False,,,,,1.0,1.0,,,,,,
1,,,1,0.2,False,,,,,1.0,1.0,,,,,,
