S,34,T,prob,Connected,32,31,30,28,23,14,13,10,8,7,3,29,33,26,27,20,24,19,22,2,6
0,0.0,0,0.72,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.72,True,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.28,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.28,True,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.72,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.72,True,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.28,False,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.28,False,,,,,,,,,,,,,,,,,,,,,
0,,0,0.5,False,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.5,True,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.5,True,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.5,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.5,False,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.5,True,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.5,True,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.5,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.63,False,,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.63,False,,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.63,True,,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.37,False,,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.74,True,,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.74,True,,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.26,True,,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.26,True,,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.74,True,,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.74,True,,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.26,False,,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.26,False,,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.56,True,,,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.44,True,,,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.44,True,,,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.44,True,,,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.79,True,,,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.79,True,,,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.21,True,,,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.79,True,,,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.79,True,,,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,,1.0,,,,,,,,,,,,,,,,
1,,1,0.21,True,,,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.68,False,,,,,,0.0,,,,,,,,,,,,,,,
1,,0,0.68,False,,,,,,0.0,,,,,,,,,,,,,,,
0,,0,0.32,True,,,,,,1.0,,,,,,,,,,,,,,,
1,,0,0.32,True,,,,,,1.0,,,,,,,,,,,,,,,
0,,1,0.68,True,,,,,,0.0,,,,,,,,,,,,,,,
1,,1,0.68,True,,,,,,0.0,,,,,,,,,,,,,,,
0,,1,0.32,True,,,,,,1.0,,,,,,,,,,,,,,,
1,,1,0.32,True,,,,,,1.0,,,,,,,,,,,,,,,
0,,0,0.67,True,,,,,,,0.0,,,,,,,,,,,,,,
1,,0,0.67,False,,,,,,,0.0,,,,,,,,,,,,,,
0,,0,0.33,True,,,,,,,1.0,,,,,,,,,,,,,,
1,,0,0.33,True,,,,,,,1.0,,,,,,,,,,,,,,
0,,1,0.67,True,,,,,,,0.0,,,,,,,,,,,,,,
1,,1,0.67,False,,,,,,,0.0,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,,1.0,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,,,1.0,,,,,,,,,,,,,,
0,,0,0.74,False,,,,,,,,0.0,,,,,,,,,,,,,
1,,0,0.74,False,,,,,,,,0.0,,,,,,,,,,,,,
0,,0,0.26,False,,,,,,,,1.0,,,,,,,,,,,,,
1,,0,0.26,False,,,,,,,,1.0,,,,,,,,,,,,,
0,,1,0.74,True,,,,,,,,0.0,,,,,,,,,,,,,
1,,1,0.74,True,,,,,,,,0.0,,,,,,,,,,,,,
0,,1,0.26,False,,,,,,,,1.0,,,,,,,,,,,,,
1,,1,0.26,False,,,,,,,,1.0,,,,,,,,,,,,,
0,,0,0.64,True,,,,,,,,,0.0,,,,,,,,,,,,
1,,0,0.64,True,,,,,,,,,0.0,,,,,,,,,,,,
0,,0,0.36,False,,,,,,,,,1.0,,,,,,,,,,,,
1,,0,0.36,True,,,,,,,,,1.0,,,,,,,,,,,,
0,,1,0.64,True,,,,,,,,,0.0,,,,,,,,,,,,
1,,1,0.64,True,,,,,,,,,0.0,,,,,,,,,,,,
0,,1,0.36,False,,,,,,,,,1.0,,,,,,,,,,,,
1,,1,0.36,True,,,,,,,,,1.0,,,,,,,,,,,,
0,,0,0.7,False,,,,,,,,,,0.0,,,,,,,,,,,
1,,0,0.7,True,,,,,,,,,,0.0,,,,,,,,,,,
0,,0,0.3,True,,,,,,,,,,1.0,,,,,,,,,,,
1,,0,0.3,True,,,,,,,,,,1.0,,,,,,,,,,,
0,,1,0.7,False,,,,,,,,,,0.0,,,,,,,,,,,
1,,1,0.7,True,,,,,,,,,,0.0,,,,,,,,,,,
0,,1,0.3,True,,,,,,,,,,1.0,,,,,,,,,,,
1,,1,0.3,True,,,,,,,,,,1.0,,,,,,,,,,,
0,,0,0.7,True,,,,,,,,,,,0.0,,,,,,,,,,
1,,0,0.7,False,,,,,,,,,,,0.0,,,,,,,,,,
0,,0,0.3,True,,,,,,,,,,,1.0,,,,,,,,,,
1,,0,0.3,False,,,,,,,,,,,1.0,,,,,,,,,,
0,,1,0.7,True,,,,,,,,,,,0.0,,,,,,,,,,
1,,1,0.7,False,,,,,,,,,,,0.0,,,,,,,,,,
0,,1,0.3,True,,,,,,,,,,,1.0,,,,,,,,,,
1,,1,0.3,False,,,,,,,,,,,1.0,,,,,,,,,,
0,,0,0.44839999999999997,True,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.44839999999999997,True,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.3116,True,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.3116,True,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.14159999999999998,True,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.14159999999999998,True,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.44839999999999997,True,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.44839999999999997,True,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.3116,True,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.3116,True,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.14159999999999998,True,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.14159999999999998,True,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.09839999999999999,True,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.1848,False,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.1748,True,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.0552,True,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.0552,False,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.5852,False,,,,,,,,,,,,,,0.0,0.0,,,,,,
