S,30,T,prob,Connected,10,2,28,33,16,22,12,20,8,21,6,17,4,15
0,0.0,0,0.61,True,,,,,,,,,,,,,,
1,0.0,0,0.61,True,,,,,,,,,,,,,,
0,1.0,0,0.39,False,,,,,,,,,,,,,,
1,1.0,0,0.39,False,,,,,,,,,,,,,,
0,0.0,1,0.61,True,,,,,,,,,,,,,,
1,0.0,1,0.61,True,,,,,,,,,,,,,,
0,1.0,1,0.39,True,,,,,,,,,,,,,,
1,1.0,1,0.39,True,,,,,,,,,,,,,,
0,,0,0.53,False,0.0,,,,,,,,,,,,,
1,,0,0.53,False,0.0,,,,,,,,,,,,,
0,,0,0.47,True,1.0,,,,,,,,,,,,,
1,,0,0.47,False,1.0,,,,,,,,,,,,,
0,,1,0.53,False,0.0,,,,,,,,,,,,,
1,,1,0.53,True,0.0,,,,,,,,,,,,,
0,,1,0.47,True,1.0,,,,,,,,,,,,,
1,,1,0.47,False,1.0,,,,,,,,,,,,,
0,,0,0.51,False,,0.0,,,,,,,,,,,,
1,,0,0.51,True,,0.0,,,,,,,,,,,,
0,,0,0.49,True,,1.0,,,,,,,,,,,,
1,,0,0.49,True,,1.0,,,,,,,,,,,,
0,,1,0.51,False,,0.0,,,,,,,,,,,,
1,,1,0.51,True,,0.0,,,,,,,,,,,,
0,,1,0.49,True,,1.0,,,,,,,,,,,,
1,,1,0.49,True,,1.0,,,,,,,,,,,,
0,,0,0.4453,False,,,0.0,0.0,,,,,,,,,,
1,,0,0.4453,False,,,0.0,0.0,,,,,,,,,,
0,,0,0.2847,False,,,1.0,0.0,,,,,,,,,,
1,,0,0.2847,True,,,1.0,0.0,,,,,,,,,,
0,,0,0.1647,False,,,0.0,1.0,,,,,,,,,,
1,,0,0.1647,False,,,0.0,1.0,,,,,,,,,,
0,,0,0.1053,False,,,1.0,1.0,,,,,,,,,,
1,,0,0.1053,False,,,1.0,1.0,,,,,,,,,,
0,,1,0.4453,False,,,0.0,0.0,,,,,,,,,,
1,,1,0.4453,False,,,0.0,0.0,,,,,,,,,,
0,,1,0.2847,False,,,1.0,0.0,,,,,,,,,,
1,,1,0.2847,False,,,1.0,0.0,,,,,,,,,,
0,,1,0.1647,True,,,0.0,1.0,,,,,,,,,,
1,,1,0.1647,True,,,0.0,1.0,,,,,,,,,,
0,,1,0.1053,False,,,1.0,1.0,,,,,,,,,,
1,,1,0.1053,True,,,1.0,1.0,,,,,,,,,,
0,,0,0.5544,False,,,,,0.0,0.0,,,,,,,,
1,,0,0.5544,True,,,,,0.0,0.0,,,,,,,,
0,,0,0.1656,True,,,,,1.0,0.0,,,,,,,,
1,,0,0.1656,True,,,,,1.0,0.0,,,,,,,,
0,,0,0.2156,False,,,,,0.0,1.0,,,,,,,,
1,,0,0.2156,True,,,,,0.0,1.0,,,,,,,,
0,,0,0.06440000000000001,True,,,,,1.0,1.0,,,,,,,,
1,,0,0.06440000000000001,True,,,,,1.0,1.0,,,,,,,,
0,,1,0.5544,False,,,,,0.0,0.0,,,,,,,,
1,,1,0.5544,True,,,,,0.0,0.0,,,,,,,,
0,,1,0.1656,True,,,,,1.0,0.0,,,,,,,,
1,,1,0.1656,True,,,,,1.0,0.0,,,,,,,,
0,,1,0.2156,False,,,,,0.0,1.0,,,,,,,,
1,,1,0.2156,True,,,,,0.0,1.0,,,,,,,,
0,,1,0.06440000000000001,True,,,,,1.0,1.0,,,,,,,,
1,,1,0.06440000000000001,True,,,,,1.0,1.0,,,,,,,,
0,,0,0.6006,True,,,,,,,0.0,0.0,,,,,,
1,,0,0.6006,True,,,,,,,0.0,0.0,,,,,,
0,,0,0.1794,True,,,,,,,1.0,0.0,,,,,,
1,,0,0.1794,True,,,,,,,1.0,0.0,,,,,,
0,,0,0.1694,True,,,,,,,0.0,1.0,,,,,,
1,,0,0.1694,True,,,,,,,0.0,1.0,,,,,,
0,,0,0.0506,True,,,,,,,1.0,1.0,,,,,,
1,,0,0.0506,True,,,,,,,1.0,1.0,,,,,,
0,,1,0.6006,True,,,,,,,0.0,0.0,,,,,,
1,,1,0.6006,True,,,,,,,0.0,0.0,,,,,,
0,,1,0.1794,True,,,,,,,1.0,0.0,,,,,,
1,,1,0.1794,True,,,,,,,1.0,0.0,,,,,,
0,,1,0.1694,True,,,,,,,0.0,1.0,,,,,,
1,,1,0.1694,True,,,,,,,0.0,1.0,,,,,,
0,,1,0.0506,True,,,,,,,1.0,1.0,,,,,,
1,,1,0.0506,True,,,,,,,1.0,1.0,,,,,,
0,,0,0.4425,True,,,,,,,,,0.0,0.0,,,,
1,,0,0.4425,True,,,,,,,,,0.0,0.0,,,,
0,,0,0.3075,True,,,,,,,,,1.0,0.0,,,,
1,,0,0.3075,True,,,,,,,,,1.0,0.0,,,,
0,,0,0.1475,True,,,,,,,,,0.0,1.0,,,,
1,,0,0.1475,True,,,,,,,,,0.0,1.0,,,,
0,,0,0.1025,True,,,,,,,,,1.0,1.0,,,,
1,,0,0.1025,True,,,,,,,,,1.0,1.0,,,,
0,,1,0.4425,True,,,,,,,,,0.0,0.0,,,,
1,,1,0.4425,True,,,,,,,,,0.0,0.0,,,,
0,,1,0.3075,True,,,,,,,,,1.0,0.0,,,,
1,,1,0.3075,True,,,,,,,,,1.0,0.0,,,,
0,,1,0.1475,True,,,,,,,,,0.0,1.0,,,,
1,,1,0.1475,True,,,,,,,,,0.0,1.0,,,,
0,,1,0.1025,True,,,,,,,,,1.0,1.0,,,,
1,,1,0.1025,True,,,,,,,,,1.0,1.0,,,,
0,,0,0.3905,False,,,,,,,,,,,0.0,0.0,,
1,,0,0.3905,False,,,,,,,,,,,0.0,0.0,,
0,,0,0.1595,False,,,,,,,,,,,1.0,0.0,,
1,,0,0.1595,False,,,,,,,,,,,1.0,0.0,,
0,,0,0.3195,False,,,,,,,,,,,0.0,1.0,,
1,,0,0.3195,False,,,,,,,,,,,0.0,1.0,,
0,,0,0.1305,True,,,,,,,,,,,1.0,1.0,,
1,,0,0.1305,True,,,,,,,,,,,1.0,1.0,,
0,,1,0.3905,True,,,,,,,,,,,0.0,0.0,,
1,,1,0.3905,True,,,,,,,,,,,0.0,0.0,,
0,,1,0.1595,True,,,,,,,,,,,1.0,0.0,,
1,,1,0.1595,True,,,,,,,,,,,1.0,0.0,,
0,,1,0.3195,False,,,,,,,,,,,0.0,1.0,,
1,,1,0.3195,False,,,,,,,,,,,0.0,1.0,,
0,,1,0.1305,True,,,,,,,,,,,1.0,1.0,,
1,,1,0.1305,True,,,,,,,,,,,1.0,1.0,,
0,,0,0.396,True,,,,,,,,,,,,,0.0,0.0
1,,0,0.396,True,,,,,,,,,,,,,0.0,0.0
0,,0,0.324,True,,,,,,,,,,,,,1.0,0.0
1,,0,0.324,True,,,,,,,,,,,,,1.0,0.0
0,,0,0.15400000000000003,False,,,,,,,,,,,,,0.0,1.0
1,,0,0.15400000000000003,False,,,,,,,,,,,,,0.0,1.0
0,,0,0.12600000000000003,True,,,,,,,,,,,,,1.0,1.0
1,,0,0.12600000000000003,True,,,,,,,,,,,,,1.0,1.0
0,,1,0.396,False,,,,,,,,,,,,,0.0,0.0
1,,1,0.396,False,,,,,,,,,,,,,0.0,0.0
0,,1,0.324,False,,,,,,,,,,,,,1.0,0.0
1,,1,0.324,False,,,,,,,,,,,,,1.0,0.0
0,,1,0.15400000000000003,False,,,,,,,,,,,,,0.0,1.0
1,,1,0.15400000000000003,False,,,,,,,,,,,,,0.0,1.0
0,,1,0.12600000000000003,True,,,,,,,,,,,,,1.0,1.0
1,,1,0.12600000000000003,True,,,,,,,,,,,,,1.0,1.0
