S,34,T,prob,Connected,28,22,9,31,32,17,27,15,25,7,20
0,0.0,0,0.78,True,,,,,,,,,,,
1,0.0,0,0.78,True,,,,,,,,,,,
0,1.0,0,0.22,False,,,,,,,,,,,
1,1.0,0,0.22,True,,,,,,,,,,,
0,0.0,1,0.78,True,,,,,,,,,,,
1,0.0,1,0.78,True,,,,,,,,,,,
0,1.0,1,0.22,False,,,,,,,,,,,
1,1.0,1,0.22,True,,,,,,,,,,,
0,,0,0.62,True,0.0,,,,,,,,,,
1,,0,0.62,True,0.0,,,,,,,,,,
0,,0,0.38,False,1.0,,,,,,,,,,
1,,0,0.38,False,1.0,,,,,,,,,,
0,,1,0.62,True,0.0,,,,,,,,,,
1,,1,0.62,True,0.0,,,,,,,,,,
0,,1,0.38,False,1.0,,,,,,,,,,
1,,1,0.38,False,1.0,,,,,,,,,,
0,,0,0.58,False,,0.0,,,,,,,,,
1,,0,0.58,True,,0.0,,,,,,,,,
0,,0,0.42,True,,1.0,,,,,,,,,
1,,0,0.42,True,,1.0,,,,,,,,,
0,,1,0.58,False,,0.0,,,,,,,,,
1,,1,0.58,False,,0.0,,,,,,,,,
0,,1,0.42,True,,1.0,,,,,,,,,
1,,1,0.42,True,,1.0,,,,,,,,,
0,,0,0.75,False,,,0.0,,,,,,,,
1,,0,0.75,True,,,0.0,,,,,,,,
0,,0,0.25,True,,,1.0,,,,,,,,
1,,0,0.25,True,,,1.0,,,,,,,,
0,,1,0.75,False,,,0.0,,,,,,,,
1,,1,0.75,True,,,0.0,,,,,,,,
0,,1,0.25,True,,,1.0,,,,,,,,
1,,1,0.25,True,,,1.0,,,,,,,,
0,,0,0.32480000000000003,True,,,,0.0,0.0,,,,,,
1,,0,0.32480000000000003,True,,,,0.0,0.0,,,,,,
0,,0,0.23520000000000002,False,,,,1.0,0.0,,,,,,
1,,0,0.23520000000000002,False,,,,1.0,0.0,,,,,,
0,,0,0.2552,False,,,,0.0,1.0,,,,,,
1,,0,0.2552,False,,,,0.0,1.0,,,,,,
0,,0,0.1848,True,,,,1.0,1.0,,,,,,
1,,0,0.1848,True,,,,1.0,1.0,,,,,,
0,,1,0.32480000000000003,True,,,,0.0,0.0,,,,,,
1,,1,0.32480000000000003,True,,,,0.0,0.0,,,,,,
0,,1,0.23520000000000002,False,,,,1.0,0.0,,,,,,
1,,1,0.23520000000000002,False,,,,1.0,0.0,,,,,,
0,,1,0.2552,False,,,,0.0,1.0,,,,,,
1,,1,0.2552,False,,,,0.0,1.0,,,,,,
0,,1,0.1848,True,,,,1.0,1.0,,,,,,
1,,1,0.1848,True,,,,1.0,1.0,,,,,,
0,,0,0.40800000000000003,True,,,,,,0.0,0.0,,,,
1,,0,0.40800000000000003,True,,,,,,0.0,0.0,,,,
0,,0,0.10200000000000001,False,,,,,,1.0,0.0,,,,
1,,0,0.10200000000000001,True,,,,,,1.0,0.0,,,,
0,,0,0.392,True,,,,,,0.0,1.0,,,,
1,,0,0.392,True,,,,,,0.0,1.0,,,,
0,,0,0.098,False,,,,,,1.0,1.0,,,,
1,,0,0.098,True,,,,,,1.0,1.0,,,,
0,,1,0.40800000000000003,True,,,,,,0.0,0.0,,,,
1,,1,0.40800000000000003,True,,,,,,0.0,0.0,,,,
0,,1,0.10200000000000001,False,,,,,,1.0,0.0,,,,
1,,1,0.10200000000000001,True,,,,,,1.0,0.0,,,,
0,,1,0.392,False,,,,,,0.0,1.0,,,,
1,,1,0.392,False,,,,,,0.0,1.0,,,,
0,,1,0.098,False,,,,,,1.0,1.0,,,,
1,,1,0.098,False,,,,,,1.0,1.0,,,,
0,,0,0.396,False,,,,,,,,0.0,0.0,,
1,,0,0.396,False,,,,,,,,0.0,0.0,,
0,,0,0.264,True,,,,,,,,1.0,0.0,,
1,,0,0.264,True,,,,,,,,1.0,0.0,,
0,,0,0.20400000000000001,False,,,,,,,,0.0,1.0,,
1,,0,0.20400000000000001,False,,,,,,,,0.0,1.0,,
0,,0,0.136,True,,,,,,,,1.0,1.0,,
1,,0,0.136,True,,,,,,,,1.0,1.0,,
0,,1,0.396,False,,,,,,,,0.0,0.0,,
1,,1,0.396,False,,,,,,,,0.0,0.0,,
0,,1,0.264,True,,,,,,,,1.0,0.0,,
1,,1,0.264,True,,,,,,,,1.0,0.0,,
0,,1,0.20400000000000001,False,,,,,,,,0.0,1.0,,
1,,1,0.20400000000000001,False,,,,,,,,0.0,1.0,,
0,,1,0.136,True,,,,,,,,1.0,1.0,,
1,,1,0.136,True,,,,,,,,1.0,1.0,,
0,,0,0.29,False,,,,,,,,,,0.0,0.0
1,,0,0.29,False,,,,,,,,,,0.0,0.0
0,,0,0.21,False,,,,,,,,,,1.0,0.0
1,,0,0.21,True,,,,,,,,,,1.0,0.0
0,,0,0.29,True,,,,,,,,,,0.0,1.0
1,,0,0.29,True,,,,,,,,,,0.0,1.0
0,,0,0.21,False,,,,,,,,,,1.0,1.0
1,,0,0.21,True,,,,,,,,,,1.0,1.0
0,,1,0.29,False,,,,,,,,,,0.0,0.0
1,,1,0.29,False,,,,,,,,,,0.0,0.0
0,,1,0.21,False,,,,,,,,,,1.0,0.0
1,,1,0.21,True,,,,,,,,,,1.0,0.0
0,,1,0.29,True,,,,,,,,,,0.0,1.0
1,,1,0.29,True,,,,,,,,,,0.0,1.0
0,,1,0.21,False,,,,,,,,,,1.0,1.0
1,,1,0.21,True,,,,,,,,,,1.0,1.0
