S,22,T,prob,Connected,19,29,34,26,31,21,30,18,27,10,20,8,17,7,16,5,14,3,13,1,11,15,23,25
0,0.0,0,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.62,True,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.71,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.71,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.29,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.29,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.71,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.71,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.29,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.29,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33480000000000004,True,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33480000000000004,False,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.20520000000000002,False,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.20520000000000002,True,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.2852,True,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.2852,False,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1748,False,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1748,True,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33480000000000004,True,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33480000000000004,False,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.20520000000000002,False,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.20520000000000002,True,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.2852,True,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.2852,False,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
