S,23,33,T,prob,Connected,5,13,1,12,25,26,34,10,24,28
0,0.0,0.0,0,0.28090000000000004,True,,,,,,,,,,
1,0.0,0.0,0,0.28090000000000004,False,,,,,,,,,,
0,1.0,0.0,0,0.2491,False,,,,,,,,,,
1,1.0,0.0,0,0.2491,False,,,,,,,,,,
0,0.0,1.0,0,0.2491,False,,,,,,,,,,
1,0.0,1.0,0,0.2491,False,,,,,,,,,,
0,1.0,1.0,0,0.22089999999999999,False,,,,,,,,,,
1,1.0,1.0,0,0.22089999999999999,False,,,,,,,,,,
0,0.0,0.0,1,0.28090000000000004,True,,,,,,,,,,
1,0.0,0.0,1,0.28090000000000004,False,,,,,,,,,,
0,1.0,0.0,1,0.2491,False,,,,,,,,,,
1,1.0,0.0,1,0.2491,False,,,,,,,,,,
0,0.0,1.0,1,0.2491,True,,,,,,,,,,
1,0.0,1.0,1,0.2491,False,,,,,,,,,,
0,1.0,1.0,1,0.22089999999999999,False,,,,,,,,,,
1,1.0,1.0,1,0.22089999999999999,True,,,,,,,,,,
0,,,0,0.40950000000000003,True,0.0,0.0,,,,,,,,
1,,,0,0.40950000000000003,True,0.0,0.0,,,,,,,,
0,,,0,0.22049999999999997,False,1.0,0.0,,,,,,,,
1,,,0,0.22049999999999997,False,1.0,0.0,,,,,,,,
0,,,0,0.2405,True,0.0,1.0,,,,,,,,
1,,,0,0.2405,True,0.0,1.0,,,,,,,,
0,,,0,0.1295,True,1.0,1.0,,,,,,,,
1,,,0,0.1295,False,1.0,1.0,,,,,,,,
0,,,1,0.40950000000000003,True,0.0,0.0,,,,,,,,
1,,,1,0.40950000000000003,True,0.0,0.0,,,,,,,,
0,,,1,0.22049999999999997,False,1.0,0.0,,,,,,,,
1,,,1,0.22049999999999997,False,1.0,0.0,,,,,,,,
0,,,1,0.2405,False,0.0,1.0,,,,,,,,
1,,,1,0.2405,False,0.0,1.0,,,,,,,,
0,,,1,0.1295,False,1.0,1.0,,,,,,,,
1,,,1,0.1295,False,1.0,1.0,,,,,,,,
0,,,0,0.3472,True,,,0.0,0.0,,,,,,
1,,,0,0.3472,True,,,0.0,0.0,,,,,,
0,,,0,0.21280000000000002,True,,,1.0,0.0,,,,,,
1,,,0,0.21280000000000002,True,,,1.0,0.0,,,,,,
0,,,0,0.2728,True,,,0.0,1.0,,,,,,
1,,,0,0.2728,True,,,0.0,1.0,,,,,,
0,,,0,0.16720000000000002,True,,,1.0,1.0,,,,,,
1,,,0,0.16720000000000002,True,,,1.0,1.0,,,,,,
0,,,1,0.3472,True,,,0.0,0.0,,,,,,
1,,,1,0.3472,True,,,0.0,0.0,,,,,,
