nodes,locality_sets,lower_bound,running time,total states,lower bound,,,,,
7,3,0,0.04,2187,0.0004,,,,,
7,3,0,0.04,2187,0.0004,,,,,
7,3,0,0.1,2187,0.001,,,,,
7,3,0,0.1,2187,0.001,,,,,
10,3,0,0.1,59049,0.001,,,,offset constant,0.01
10,3,0,0.1,59049,0.001,,,,,
7,3,0,0.15,2187,0.0015,,,,,
7,3,0,0.15,2187,0.0015,,,,,
10,4,0,0.15,1048576,0.0015,,,,,
10,3,0,0.17,59049,0.0017,,,,,
10,3,0,0.17,59049,0.0017,,,,,
7,3,0,0.2,2187,0.002,,,,,
7,3,0,0.2,2187,0.002,,,,,
9,3,0,0.24,19683,0.0024,,,,,
9,3,0,0.24,19683,0.0024,,,,,
9,3,0,0.36,19683,0.0036,,,,,
9,3,0,0.36,19683,0.0036,,,,,
10,3,0,0.42,59049,0.0042,,,,,
10,3,0,0.42,59049,0.0042,,,,,
9,3,0,0.54,19683,0.0054,,,,,
9,3,0,0.54,19683,0.0054,,,,,
9,3,0,0.63,19683,0.0063,,,,,
9,3,0,0.63,19683,0.0063,,,,,
10,3,0,0.68,59049,0.0068,,,,,
10,3,0,0.68,59049,0.0068,,,,,
10,4,0,0.95,1048576,0.0095,,,,,
12,3,0,1.57,531441,0.0157,,,,,
12,3,0,1.57,531441,0.0157,,,,,
11,3,0,2.79,177147,0.0279,,,,,
11,3,0,2.79,177147,0.0279,,,,,
12,3,0,3.26,531441,0.0326,,,,,
12,3,0,3.26,531441,0.0326,,,,,
11,3,0,3.34,177147,0.0334,,,,,
11,3,0,3.34,177147,0.0334,,,,,
12,3,0,3.57,531441,0.0357,,,,,
12,3,0,3.57,531441,0.0357,,,,,
11,3,0,3.7,177147,0.037,,,,,
11,3,0,3.7,177147,0.037,,,,,
11,3,0,4.02,177147,0.0402,,,,,
11,3,0,4.02,177147,0.0402,,,,,
12,3,0,4.12,531441,0.0412,,,,,
12,3,0,4.12,531441,0.0412,,,,,
8,2,0,77.17,256,0.7717,,,,,
8,2,0,77.17,256,0.7717,,,,,
8,2,0,77.21,256,0.7721,,,,,
8,2,0,77.21,256,0.7721,,,,,
8,2,0,77.25,256,0.7725,,,2,0.048153401,
8,2,0,77.25,256,0.7725,,,3,0.134233938,
8,2,0,77.3,256,0.773,,,4,0.62908664,
8,2,0,77.3,256,0.773,,,5,3.739050147,
8,3,0,76.75,6561,0.7675,,,,,
8,3,0,76.75,6561,0.7675,,,,,
8,3,0,76.84,6561,0.7684,,,,,
8,3,0,76.84,6561,0.7684,,,,,
8,3,0,76.95,6561,0.7695,,,,,
8,3,0,76.95,6561,0.7695,,,,,
8,3,0,77.11,6561,0.7711,,,,,
8,3,0,77.11,6561,0.7711,,,,,
8,4,0,75.01,65536,0.7501,,,,,
8,4,0,75.01,65536,0.7501,,,,,
8,4,0,75.59,65536,0.7559,,,,,
8,4,0,75.59,65536,0.7559,,,,,
8,4,0,76.2,65536,0.762,,,,,
8,4,0,76.2,65536,0.762,,,,,
8,4,0,76.68,65536,0.7668,,,,,
8,4,0,76.68,65536,0.7668,,,,,
8,5,0.01,89.2,390625,0.892,,,,,
8,5,0.01,89.2,390625,0.892,,,,,
8,5,0.01,97.89,390625,0.9789,,,,,
8,5,0.01,97.89,390625,0.9789,,,,,
8,5,0.01,98,390625,0.98,,,,,
8,5,0.01,98,390625,0.98,,,,,
8,5,0,99,390625,0.99,,,,,
8,5,0,99,390625,0.99,,,,,
8,5,0,99,390625,0.99,,,,,
8,5,0,99,390625,0.99,,,,,
13,3,0.01,111.51,1594323,1.1151,,,,,
13,3,0.01,111.51,1594323,1.1151,,,,,
13,3,0,113.41,1594323,1.1341,,,,,
13,3,0,113.41,1594323,1.1341,,,,,
13,3,0,127.07,1594323,1.2707,,,,,
13,3,0,127.07,1594323,1.2707,,,,,
13,3,0.01,151.83,1594323,1.5183,,,,,
13,3,0.01,151.83,1594323,1.5183,,,,,
14,3,0,172.66,4782969,1.7266,,,,,
14,3,0,172.66,4782969,1.7266,,,,,
14,3,0,175.71,4782969,1.7571,,,,,
14,3,0,175.71,4782969,1.7571,,,,,
14,3,0,180.92,4782969,1.8092,,,,,
11,4,0.01,197.54,4194304,1.9754,,,,,
13,3,0.01,210.21,1594323,2.1021,,,,,
12,3,0,211.55,531441,2.1155,,,,,
11,4,0.01,246.19,4194304,2.4619,,,,,
14,3,0,264.77,4782969,2.6477,,,,,
14,3,0,264.77,4782969,2.6477,,,,,
14,3,0,275.16,4782969,2.7516,,,,,
14,3,0,275.16,4782969,2.7516,,,,,
11,4,0.01,600.2,4194304,6.002,,,,,
11,4,0.02,924.76,4194304,9.2476,,,,,
