V,Loc_max,Conn_Level,Connectivity,Running Time,,,,,,,
95,3,2,0.999999437,1.100548029,,,,,,,
95,3,2,0.999998041,0.565915108,,,,V,Loc_max,Connectivity,Running Time (sec)
95,3,2,1,0.830865145,,,,100,3,1,68.4
95,3,2,1,0.728214025,,,,95,3,1,49.29
95,3,2,1,0.881810188,,,,90,3,1,58.24
90,3,2,1,0.669198275,,,,85,3,1,46.37
90,3,2,1,0.755163193,,,,80,3,1,51.8
90,3,2,0.999999999,1.411922932,,,,75,3,1,34.31
90,3,2,1,1.086493015,,,,70,3,1,36.18
90,3,2,1,0.930302143,,,,65,3,1,33.75
85,3,2,0.999998609,0.596724033,,,,60,3,1,34.77
85,3,2,1,0.586264133,,,,55,3,0.99,37.43
85,3,2,0.999999647,0.600085735,,,,50,3,1,25.01
85,3,2,1,0.937676668,,,,,,,
85,3,2,1,1.143314123,,,,,,,
80,3,2,1,1.041906834,,,,,,,
80,3,2,1,1.277120113,,,,,,,
80,3,2,0.999929299,0.475283861,,,,,,,
80,3,2,0.99999272,0.732486248,,,,,,,
80,3,2,0.999999997,0.789977074,,,,,,,
75,3,2,1,0.642913103,,,,,,,
75,3,2,0.999583297,0.550076962,,,,,,,
75,3,2,0.999992512,0.600802898,,,,,,,
75,3,2,0.999987437,0.504180193,,,,,,,
75,3,2,1,0.560965061,,,,,,,
70,3,2,1,0.660669088,,,,,,,
70,3,2,1,0.505029917,,,,,,,
70,3,2,0.999358115,0.695286036,,,,,,,
70,3,2,1,0.602998018,,,,,,,
70,3,2,1,0.551016092,,,,,,,
65,3,2,0.999929113,0.662616014,,,,,,,
65,3,2,0.990059803,0.50361824,,,,,,,
65,3,2,0.998054004,0.310446024,,,,,,,
65,3,2,1,0.720337868,,,,,,,
65,3,2,1,0.615541935,,,,,,,
60,3,2,0.999970729,0.485006809,,,,,,,
60,3,2,1,0.617738008,,,,,,,
60,3,2,0.999999915,0.638329029,,,,,,,
60,3,2,1,0.696462154,,,,,,,
60,3,2,0.999767593,0.459821939,,,,,,,
55,3,2,1,0.439691067,,,,,,,
55,3,2,1,1.066011906,,,,,,,
55,3,2,0.995299179,0.479171038,,,,,,,
55,3,2,0.981782101,0.398502111,,,,,,,
55,3,2,0.996620432,0.735852003,,,,,,,
50,3,2,0.99751984,0.494296789,,,,,,,
50,3,2,0.999952007,0.379074097,,,,,,,
50,3,2,1,0.362676144,,,,,,,
50,3,2,0.998792736,0.324339867,,,,,,,
50,3,2,0.999991721,0.5235672,,,,,,,
